Michigan, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,2.38,0.88
195102,2.05,0.55
195202,0.95,-0.55
195302,2.14,0.64
195402,2.41,0.91
195502,1.37,-0.13
195602,1.41,-0.09
195702,1.25,-0.25
195802,0.83,-0.67
195902,1.78,0.28
196002,1.95,0.45
196102,1.54,0.04
196202,2.14,0.64
196302,0.72,-0.78
196402,0.66,-0.84
196502,1.98,0.48
196602,1.16,-0.34
196702,1.51,0.01
196802,1.87,0.37
196902,0.40,-1.10
197002,0.67,-0.83
197102,2.73,1.23
197202,1.21,-0.29
197302,1.21,-0.29
197402,1.70,0.20
197502,1.80,0.30
197602,2.26,0.76
197702,1.42,-0.08
197802,0.62,-0.88
197902,1.08,-0.42
198002,0.90,-0.60
198102,2.22,0.72
198202,0.76,-0.74
198302,0.96,-0.54
198402,1.11,-0.39
198502,2.66,1.16
198602,1.86,0.36
198702,0.42,-1.08
198802,1.27,-0.23
198902,0.88,-0.62
199002,2.02,0.52
199102,0.79,-0.71
199202,1.41,-0.09
199302,0.79,-0.71
199402,1.22,-0.28
199502,0.93,-0.57
199602,1.56,0.06
199702,2.67,1.17
199802,1.32,-0.18
199902,1.45,-0.05
200002,1.42,-0.08
200102,2.63,1.13
200202,2.13,0.63
200302,1.06,-0.44
200402,1.20,-0.30
200502,1.78,0.28
200602,1.80,0.30
200702,0.96,-0.54
200802,2.56,1.06
200902,2.40,0.90
201002,1.04,-0.46
201102,1.53,0.03
201202,1.31,-0.19
201302,2.28,0.78
201402,1.58,0.08
201502,0.97,-0.53
201602,1.87,0.37
201702,2.02,0.52
201802,2.96,1.46
201902,2.93,1.43
202002,1.03,-0.47
202102,1.28,-0.22
