Michigan, Precipitation, July
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195007,3.99,0.95
195107,3.92,0.88
195207,5.52,2.48
195307,3.48,0.44
195407,2.19,-0.85
195507,2.70,-0.34
195607,3.84,0.80
195707,3.54,0.50
195807,3.62,0.58
195907,3.43,0.39
196007,3.17,0.13
196107,3.24,0.20
196207,2.57,-0.47
196307,2.72,-0.32
196407,3.34,0.30
196507,1.86,-1.18
196607,2.01,-1.03
196707,2.14,-0.90
196807,3.01,-0.03
196907,3.65,0.61
197007,4.57,1.53
197107,3.09,0.05
197207,3.52,0.48
197307,3.29,0.25
197407,2.52,-0.52
197507,2.85,-0.19
197607,2.29,-0.75
197707,3.35,0.31
197807,2.81,-0.23
197907,2.84,-0.20
198007,3.66,0.62
198107,2.31,-0.73
198207,4.30,1.26
198307,2.56,-0.48
198407,2.29,-0.75
198507,3.12,0.08
198607,3.80,0.76
198707,2.79,-0.25
198807,2.96,-0.08
198907,1.67,-1.37
199007,2.67,-0.37
199107,4.34,1.30
199207,5.00,1.96
199307,2.80,-0.24
199407,4.70,1.66
199507,3.41,0.37
199607,3.52,0.48
199707,2.87,-0.17
199807,1.93,-1.11
199907,4.92,1.88
200007,3.45,0.41
200107,2.02,-1.02
200207,3.22,0.18
200307,3.34,0.30
200407,3.30,0.26
200507,3.69,0.65
200607,3.82,0.78
200707,2.04,-1.00
200807,3.73,0.69
200907,2.30,-0.74
201007,4.16,1.12
201107,2.99,-0.05
201207,3.59,0.55
201307,3.54,0.50
201407,3.46,0.42
201507,2.49,-0.55
201607,3.92,0.88
201707,2.74,-0.30
201807,2.62,-0.42
201907,2.99,-0.05
202007,3.93,0.89
202107,4.14,1.10
