Minnesota, Precipitation, July
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195007,3.56,-0.04
195107,3.24,-0.36
195207,5.49,1.89
195307,4.07,0.47
195407,2.96,-0.64
195507,5.74,2.14
195607,3.79,0.19
195707,4.28,0.68
195807,3.84,0.24
195907,2.89,-0.71
196007,2.51,-1.09
196107,3.98,0.38
196207,5.69,2.09
196307,4.62,1.02
196407,2.65,-0.95
196507,3.59,-0.01
196607,3.59,-0.01
196707,1.91,-1.69
196807,4.54,0.94
196907,4.26,0.66
197007,2.98,-0.62
197107,3.25,-0.35
197207,6.16,2.56
197307,4.12,0.52
197407,2.72,-0.88
197507,2.41,-1.19
197607,2.23,-1.37
197707,3.72,0.12
197807,5.42,1.82
197907,3.55,-0.05
198007,2.31,-1.29
198107,3.82,0.22
198207,4.45,0.85
198307,3.53,-0.07
198407,2.32,-1.28
198507,3.16,-0.44
198607,5.10,1.50
198707,5.91,2.31
198807,2.31,-1.29
198907,2.40,-1.20
199007,3.56,-0.04
199107,4.53,0.93
199207,4.08,0.48
199307,6.28,2.68
199407,4.33,0.73
199507,5.64,2.04
199607,3.43,-0.17
199707,5.09,1.49
199807,3.17,-0.43
199907,5.62,2.02
200007,3.79,0.19
200107,3.37,-0.23
200207,4.94,1.34
200307,3.19,-0.41
200407,4.19,0.59
200507,2.59,-1.01
200607,2.00,-1.60
200707,2.17,-1.43
200807,2.99,-0.61
200907,2.77,-0.83
201007,4.95,1.35
201107,4.68,1.08
201207,3.28,-0.32
201307,2.86,-0.74
201407,2.50,-1.10
201507,4.07,0.47
201607,6.07,2.47
201707,2.64,-0.96
201807,4.30,0.70
201907,4.62,1.02
202007,4.88,1.28
202107,1.79,-1.81
