Mississippi, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,8.44,3.16
195101,7.08,1.80
195201,3.72,-1.56
195301,4.50,-0.78
195401,5.17,-0.11
195501,4.31,-0.97
195601,2.69,-2.59
195701,5.49,0.21
195801,3.69,-1.59
195901,4.05,-1.23
196001,5.51,0.23
196101,3.88,-1.40
196201,8.12,2.84
196301,4.29,-0.99
196401,5.56,0.28
196501,3.58,-1.70
196601,6.57,1.29
196701,2.39,-2.89
196801,5.77,0.49
196901,2.46,-2.82
197001,2.44,-2.84
197101,3.28,-2.00
197201,8.39,3.11
197301,5.81,0.53
197401,11.01,5.73
197501,5.75,0.47
197601,3.84,-1.44
197701,5.20,-0.08
197801,5.89,0.61
197901,10.70,5.42
198001,5.84,0.56
198101,1.53,-3.75
198201,5.63,0.35
198301,4.96,-0.32
198401,3.40,-1.88
198501,3.84,-1.44
198601,1.30,-3.98
198701,5.14,-0.14
198801,3.38,-1.90
198901,6.68,1.40
199001,9.15,3.87
199101,6.15,0.87
199201,5.23,-0.05
199301,6.57,1.29
199401,7.11,1.83
199501,5.02,-0.26
199601,5.99,0.71
199701,6.48,1.20
199801,9.29,4.01
199901,9.67,4.39
200001,3.14,-2.14
200101,5.91,0.63
200201,6.06,0.78
200301,1.75,-3.53
200401,4.25,-1.03
200501,3.60,-1.68
200601,6.13,0.85
200701,4.89,-0.39
200801,4.13,-1.15
200901,3.70,-1.58
201001,5.14,-0.14
201101,4.44,-0.84
201201,4.23,-1.05
201301,9.07,3.79
201401,2.08,-3.20
201501,4.70,-0.58
201601,3.60,-1.68
201701,6.70,1.42
201801,3.66,-1.62
201901,6.17,0.89
202001,8.72,3.44
202101,3.79,-1.49
