Mississippi, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,1.85,-1.06
195110,1.20,-1.71
195210,0.23,-2.68
195310,0.59,-2.32
195410,2.59,-0.32
195510,1.70,-1.21
195610,3.43,0.52
195710,3.88,0.97
195810,1.63,-1.28
195910,5.01,2.10
196010,4.31,1.40
196110,1.46,-1.45
196210,2.95,0.04
196310,0.07,-2.84
196410,3.98,1.07
196510,1.32,-1.59
196610,2.93,0.02
196710,3.11,0.20
196810,1.88,-1.03
196910,2.43,-0.48
197010,8.02,5.11
197110,1.11,-1.80
197210,3.42,0.51
197310,3.30,0.39
197410,2.12,-0.79
197510,5.34,2.43
197610,3.89,0.98
197710,4.25,1.34
197810,0.43,-2.48
197910,2.19,-0.72
198010,4.28,1.37
198110,3.23,0.32
198210,4.20,1.29
198310,2.24,-0.67
198410,9.74,6.83
198510,8.33,5.42
198610,5.17,2.26
198710,0.57,-2.34
198810,4.88,1.97
198910,1.30,-1.61
199010,2.42,-0.49
199110,2.46,-0.45
199210,1.84,-1.07
199310,4.02,1.11
199410,5.57,2.66
199510,3.93,1.02
199610,3.28,0.37
199710,4.59,1.68
199810,1.54,-1.37
199910,3.15,0.24
200010,0.99,-1.92
200110,5.61,2.70
200210,8.05,5.14
200310,2.50,-0.41
200410,5.12,2.21
200510,0.08,-2.83
200610,7.05,4.14
200710,4.72,1.81
200810,2.58,-0.33
200910,9.89,6.98
201010,1.73,-1.18
201110,1.11,-1.80
201210,3.18,0.27
201310,2.27,-0.64
201410,4.28,1.37
201510,5.26,2.35
201610,0.55,-2.36
201710,2.94,0.03
201810,2.54,-0.37
201910,10.22,7.31
202010,5.24,2.33
202110,3.11,0.20
