Mississippi, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,3.30,-1.98
195104,4.35,-0.93
195204,4.06,-1.22
195304,8.00,2.72
195404,4.00,-1.28
195504,8.19,2.91
195604,5.32,0.04
195704,6.06,0.78
195804,6.99,1.71
195904,5.08,-0.20
196004,2.74,-2.54
196104,3.40,-1.88
196204,6.30,1.02
196304,3.05,-2.23
196404,10.75,5.47
196504,1.66,-3.62
196604,6.40,1.12
196704,3.83,-1.45
196804,6.26,0.98
196904,7.81,2.53
197004,5.84,0.56
197104,3.71,-1.57
197204,3.14,-2.14
197304,8.45,3.17
197404,8.05,2.77
197504,5.52,0.24
197604,1.31,-3.97
197704,6.91,1.63
197804,3.11,-2.17
197904,10.58,5.30
198004,9.32,4.04
198104,1.98,-3.30
198204,7.03,1.75
198304,11.53,6.25
198404,5.33,0.05
198504,3.74,-1.54
198604,2.00,-3.28
198704,1.62,-3.66
198804,4.08,-1.20
198904,2.89,-2.39
199004,3.99,-1.29
199104,14.36,9.08
199204,3.22,-2.06
199304,5.29,0.01
199404,4.42,-0.86
199504,7.49,2.21
199604,5.70,0.42
199704,7.09,1.81
199804,5.35,0.07
199904,3.45,-1.83
200004,6.73,1.45
200104,3.48,-1.80
200204,2.84,-2.44
200304,5.11,-0.17
200404,4.07,-1.21
200504,6.96,1.68
200604,3.49,-1.79
200704,3.64,-1.64
200804,5.55,0.27
200904,3.53,-1.75
201004,2.77,-2.51
201104,6.34,1.06
201204,3.39,-1.89
201304,6.62,1.34
201404,8.86,3.58
201504,6.09,0.81
201604,5.71,0.43
201704,5.57,0.29
201804,6.61,1.33
201904,8.73,3.45
202004,7.21,1.93
202104,7.31,2.03
