Mississippi, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,3.87,0.44
195109,4.34,0.91
195209,2.23,-1.20
195309,0.88,-2.55
195409,2.14,-1.29
195509,1.40,-2.03
195609,1.90,-1.53
195709,8.99,5.56
195809,8.25,4.82
195909,3.94,0.51
196009,2.85,-0.58
196109,3.15,-0.28
196209,2.72,-0.71
196309,1.69,-1.74
196409,3.86,0.43
196509,5.05,1.62
196609,3.94,0.51
196709,2.45,-0.98
196809,4.68,1.25
196909,2.44,-0.99
197009,2.34,-1.09
197109,5.56,2.13
197209,4.09,0.66
197309,4.67,1.24
197409,5.41,1.98
197509,4.14,0.71
197609,3.51,0.08
197709,6.83,3.40
197809,2.18,-1.25
197909,6.88,3.45
198009,4.06,0.63
198109,3.16,-0.27
198209,2.18,-1.25
198309,3.69,0.26
198409,0.84,-2.59
198509,4.52,1.09
198609,2.56,-0.87
198709,2.09,-1.34
198809,6.48,3.05
198909,5.24,1.81
199009,2.41,-1.02
199109,4.03,0.60
199209,3.20,-0.23
199309,3.27,-0.16
199409,2.95,-0.48
199509,1.76,-1.67
199609,4.48,1.05
199709,2.58,-0.85
199809,4.77,1.34
199909,2.60,-0.83
200009,2.67,-0.76
200109,5.06,1.63
200209,9.69,6.26
200309,3.97,0.54
200409,1.60,-1.83
200509,3.28,-0.15
200609,3.85,0.42
200709,3.86,0.43
200809,5.95,2.52
200909,7.86,4.43
201009,0.84,-2.59
201109,7.98,4.55
201209,4.18,0.75
201309,5.29,1.86
201409,2.54,-0.89
201509,1.58,-1.85
201609,1.80,-1.63
201709,2.64,-0.79
201809,6.60,3.17
201909,0.41,-3.02
202009,3.57,0.14
202109,4.60,1.17
