Missouri, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,4.36,-0.26
195106,8.99,4.37
195206,2.26,-2.36
195306,2.10,-2.52
195406,3.30,-1.32
195506,4.76,0.14
195606,3.38,-1.24
195706,6.59,1.97
195806,5.47,0.85
195906,2.32,-2.30
196006,3.96,-0.66
196106,3.34,-1.28
196206,3.94,-0.68
196306,3.25,-1.37
196406,5.15,0.53
196506,5.60,0.98
196606,3.50,-1.12
196706,6.75,2.13
196806,3.00,-1.62
196906,6.30,1.68
197006,5.72,1.10
197106,3.05,-1.57
197206,1.99,-2.63
197306,4.00,-0.62
197406,3.90,-0.72
197506,4.18,-0.44
197606,3.44,-1.18
197706,5.71,1.09
197806,3.23,-1.39
197906,3.91,-0.71
198006,2.67,-1.95
198106,7.62,3.00
198206,5.16,0.54
198306,3.44,-1.18
198406,4.01,-0.61
198506,6.77,2.15
198606,3.35,-1.27
198706,3.36,-1.26
198806,1.44,-3.18
198906,4.37,-0.25
199006,4.89,0.27
199106,2.21,-2.41
199206,2.93,-1.69
199306,6.35,1.73
199406,3.73,-0.89
199506,5.40,0.78
199606,3.94,-0.68
199706,4.02,-0.60
199806,7.27,2.65
199906,4.78,0.16
200006,6.94,2.32
200106,5.91,1.29
200206,2.95,-1.67
200306,4.72,0.10
200406,3.47,-1.15
200506,3.90,-0.72
200606,3.12,-1.50
200706,5.11,0.49
200806,6.98,2.36
200906,5.77,1.15
201006,4.79,0.17
201106,4.08,-0.54
201206,1.90,-2.72
201306,4.46,-0.16
201406,6.10,1.48
201506,7.36,2.74
201606,2.43,-2.19
201706,4.32,-0.30
201806,3.70,-0.92
201906,5.71,1.09
202006,3.64,-0.98
202106,5.57,0.95
