Missouri, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,2.09,-2.01
195109,5.31,1.21
195209,1.50,-2.60
195309,1.27,-2.83
195409,2.44,-1.66
195509,3.22,-0.88
195609,0.95,-3.15
195709,3.07,-1.03
195809,4.75,0.65
195909,5.08,0.98
196009,1.60,-2.50
196109,6.98,2.88
196209,5.48,1.38
196309,1.65,-2.45
196409,3.95,-0.15
196509,8.28,4.18
196609,3.33,-0.77
196709,3.89,-0.21
196809,4.10,0.00
196909,4.72,0.62
197009,8.60,4.50
197109,3.46,-0.64
197209,4.95,0.85
197309,6.59,2.49
197409,3.72,-0.38
197509,4.90,0.80
197609,1.62,-2.48
197709,6.87,2.77
197809,2.89,-1.21
197909,1.57,-2.53
198009,3.00,-1.10
198109,1.86,-2.24
198209,2.75,-1.35
198309,2.43,-1.67
198409,5.07,0.97
198509,3.17,-0.93
198609,8.34,4.24
198709,2.61,-1.49
198809,4.30,0.20
198909,3.01,-1.09
199009,2.35,-1.75
199109,3.71,-0.39
199209,4.78,0.68
199309,11.31,7.21
199409,2.48,-1.62
199509,2.33,-1.77
199609,5.73,1.63
199709,3.21,-0.89
199809,4.65,0.55
199909,2.56,-1.54
200009,2.83,-1.27
200109,3.48,-0.62
200209,1.94,-2.16
200309,5.19,1.09
200409,1.14,-2.96
200509,3.94,-0.16
200609,2.84,-1.26
200709,3.00,-1.10
200809,8.15,4.05
200909,3.76,-0.34
201009,7.86,3.76
201109,2.58,-1.52
201209,4.90,0.80
201309,2.50,-1.60
201409,3.85,-0.25
201509,2.18,-1.92
201609,4.39,0.29
201709,1.02,-3.08
201809,3.52,-0.58
201909,3.28,-0.82
202009,3.10,-1.00
202109,2.31,-1.79
