Montana, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,1.24,-0.05
195112,2.17,0.88
195212,0.62,-0.67
195312,1.29,0.00
195412,0.52,-0.77
195512,2.55,1.26
195612,1.22,-0.07
195712,0.94,-0.35
195812,1.65,0.36
195912,0.47,-0.82
196012,0.76,-0.53
196112,1.13,-0.16
196212,0.83,-0.46
196312,1.29,0.00
196412,2.92,1.63
196512,0.76,-0.53
196612,1.20,-0.09
196712,1.87,0.58
196812,1.60,0.31
196912,0.97,-0.32
197012,1.20,-0.09
197112,1.80,0.51
197212,1.50,0.21
197312,1.63,0.34
197412,0.98,-0.31
197512,1.53,0.24
197612,0.59,-0.70
197712,2.74,1.45
197812,1.53,0.24
197912,1.04,-0.25
198012,1.54,0.25
198112,1.31,0.02
198212,1.67,0.38
198312,1.26,-0.03
198412,1.43,0.14
198512,0.59,-0.70
198612,0.42,-0.87
198712,1.01,-0.28
198812,1.07,-0.22
198912,1.66,0.37
199012,1.20,-0.09
199112,0.85,-0.44
199212,1.31,0.02
199312,0.80,-0.49
199412,0.94,-0.35
199512,1.23,-0.06
199612,2.78,1.49
199712,0.58,-0.71
199812,1.66,0.37
199912,1.03,-0.26
200012,0.87,-0.42
200112,0.79,-0.50
200212,0.78,-0.51
200312,1.40,0.11
200412,0.93,-0.36
200512,1.23,-0.06
200612,0.87,-0.42
200712,1.19,-0.10
200812,1.81,0.52
200912,1.05,-0.24
201012,1.61,0.32
201112,0.81,-0.48
201212,1.32,0.03
201312,1.46,0.17
201412,1.30,0.01
201512,1.61,0.32
201612,1.49,0.20
201712,1.81,0.52
201812,0.99,-0.30
201912,0.79,-0.50
202012,0.68,-0.61
202112,1.66,0.37
