Montana, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,3.35,0.49
195106,2.48,-0.38
195206,2.29,-0.57
195306,3.61,0.75
195406,3.06,0.20
195506,2.21,-0.65
195606,1.92,-0.94
195706,3.35,0.49
195806,3.78,0.92
195906,2.61,-0.25
196006,1.45,-1.41
196106,1.02,-1.84
196206,2.58,-0.28
196306,4.27,1.41
196406,4.55,1.69
196506,3.83,0.97
196606,2.58,-0.28
196706,3.74,0.88
196806,3.56,0.70
196906,4.34,1.48
197006,2.79,-0.07
197106,2.38,-0.48
197206,2.29,-0.57
197306,2.77,-0.09
197406,1.39,-1.47
197506,3.66,0.80
197606,3.84,0.98
197706,1.66,-1.20
197806,2.06,-0.80
197906,1.48,-1.38
198006,2.96,0.10
198106,2.91,0.05
198206,2.91,0.05
198306,2.13,-0.73
198406,2.74,-0.12
198506,1.12,-1.74
198606,2.30,-0.56
198706,1.54,-1.32
198806,1.54,-1.32
198906,1.96,-0.90
199006,1.73,-1.13
199106,4.29,1.43
199206,3.51,0.65
199306,3.72,0.86
199406,2.39,-0.47
199506,3.74,0.88
199606,1.78,-1.08
199706,3.00,0.14
199806,4.02,1.16
199906,2.56,-0.30
200006,2.09,-0.77
200106,3.83,0.97
200206,3.37,0.51
200306,2.18,-0.68
200406,2.03,-0.83
200506,4.80,1.94
200606,2.35,-0.51
200706,2.09,-0.77
200806,2.85,-0.01
200906,2.15,-0.71
201006,3.66,0.80
201106,3.36,0.50
201206,2.01,-0.85
201306,3.12,0.26
201406,3.20,0.34
201506,1.77,-1.09
201606,1.53,-1.33
201706,1.72,-1.14
201806,3.62,0.76
201906,2.56,-0.30
202006,3.43,0.57
202106,0.83,-2.03
