Montana, Precipitation, July
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195007,1.83,0.24
195107,1.48,-0.11
195207,1.42,-0.17
195307,0.71,-0.88
195407,0.94,-0.65
195507,2.53,0.94
195607,1.79,0.20
195707,0.98,-0.61
195807,2.28,0.69
195907,0.52,-1.07
196007,0.47,-1.12
196107,1.25,-0.34
196207,2.43,0.84
196307,1.29,-0.30
196407,1.37,-0.22
196507,1.80,0.21
196607,1.62,0.03
196707,0.85,-0.74
196807,0.79,-0.80
196907,1.85,0.26
197007,1.85,0.26
197107,0.60,-0.99
197207,1.88,0.29
197307,0.56,-1.03
197407,1.55,-0.04
197507,2.29,0.70
197607,1.45,-0.14
197707,1.54,-0.05
197807,2.63,1.04
197907,1.25,-0.34
198007,0.96,-0.63
198107,1.55,-0.04
198207,1.72,0.13
198307,2.67,1.08
198407,0.61,-0.98
198507,0.88,-0.71
198607,1.70,0.11
198707,3.48,1.89
198807,0.75,-0.84
198907,1.71,0.12
199007,1.39,-0.20
199107,0.76,-0.83
199207,2.46,0.87
199307,5.55,3.96
199407,1.17,-0.42
199507,2.50,0.91
199607,0.76,-0.83
199707,2.79,1.20
199807,1.88,0.29
199907,1.05,-0.54
200007,1.64,0.05
200107,2.48,0.89
200207,1.41,-0.18
200307,0.50,-1.09
200407,1.48,-0.11
200507,0.67,-0.92
200607,0.59,-1.00
200707,0.83,-0.76
200807,1.05,-0.54
200907,2.03,0.44
201007,1.51,-0.08
201107,1.39,-0.20
201207,1.29,-0.30
201307,1.19,-0.40
201407,0.69,-0.90
201507,1.88,0.29
201607,2.07,0.48
201707,0.43,-1.16
201807,0.76,-0.83
201907,2.03,0.44
202007,1.08,-0.51
202107,0.65,-0.94
