Nebraska, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,0.44,-0.06
195101,0.30,-0.20
195201,0.49,-0.01
195301,0.44,-0.06
195401,0.08,-0.42
195501,0.60,0.10
195601,0.50,0.00
195701,0.24,-0.26
195801,0.35,-0.15
195901,0.48,-0.02
196001,1.21,0.71
196101,0.07,-0.43
196201,0.25,-0.25
196301,0.78,0.28
196401,0.12,-0.38
196501,0.57,0.07
196601,0.46,-0.04
196701,0.36,-0.14
196801,0.23,-0.27
196901,0.72,0.22
197001,0.20,-0.30
197101,0.52,0.02
197201,0.24,-0.26
197301,0.83,0.33
197401,0.47,-0.03
197501,0.64,0.14
197601,0.67,0.17
197701,0.32,-0.18
197801,0.36,-0.14
197901,0.88,0.38
198001,0.62,0.12
198101,0.16,-0.34
198201,0.60,0.10
198301,0.46,-0.04
198401,0.27,-0.23
198501,0.43,-0.07
198601,0.06,-0.44
198701,0.12,-0.38
198801,0.89,0.39
198901,0.57,0.07
199001,0.53,0.03
199101,0.40,-0.10
199201,1.05,0.55
199301,0.84,0.34
199401,0.64,0.14
199501,0.42,-0.08
199601,0.81,0.31
199701,0.25,-0.25
199801,0.32,-0.18
199901,0.32,-0.18
200001,0.30,-0.20
200101,0.95,0.45
200201,0.23,-0.27
200301,0.37,-0.13
200401,0.50,0.00
200501,0.54,0.04
200601,0.34,-0.16
200701,0.58,0.08
200801,0.19,-0.31
200901,0.44,-0.06
201001,0.37,-0.13
201101,0.93,0.43
201201,0.16,-0.34
201301,0.32,-0.18
201401,0.22,-0.28
201501,0.21,-0.29
201601,0.40,-0.10
201701,1.01,0.51
201801,0.72,0.22
201901,0.25,-0.25
202001,0.58,0.08
202101,0.66,0.16
