Nebraska, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,1.23,-1.03
195104,2.89,0.63
195204,2.07,-0.19
195304,3.11,0.85
195404,1.62,-0.64
195504,1.19,-1.07
195604,1.54,-0.72
195704,2.73,0.47
195804,2.82,0.56
195904,1.55,-0.71
196004,2.47,0.21
196104,1.46,-0.80
196204,0.76,-1.50
196304,1.51,-0.75
196404,3.31,1.05
196504,1.53,-0.73
196604,1.25,-1.01
196704,1.61,-0.65
196804,2.88,0.62
196904,1.41,-0.85
197004,2.65,0.39
197104,2.66,0.40
197204,2.50,0.24
197304,2.40,0.14
197404,2.00,-0.26
197504,2.31,0.05
197604,3.24,0.98
197704,3.63,1.37
197804,3.82,1.56
197904,2.08,-0.18
198004,1.24,-1.02
198104,1.44,-0.82
198204,1.67,-0.59
198304,1.64,-0.62
198404,5.47,3.21
198504,2.79,0.53
198604,3.64,1.38
198704,1.12,-1.14
198804,2.07,-0.19
198904,0.45,-1.81
199004,1.26,-1.00
199104,2.34,0.08
199204,0.80,-1.46
199304,2.64,0.38
199404,2.07,-0.19
199504,3.17,0.91
199604,1.48,-0.78
199704,2.28,0.02
199804,2.15,-0.11
199904,4.20,1.94
200004,1.81,-0.45
200104,3.83,1.57
200204,1.50,-0.76
200304,3.23,0.97
200404,1.76,-0.50
200504,3.19,0.93
200604,2.20,-0.06
200704,3.77,1.51
200804,2.89,0.63
200904,2.74,0.48
201004,2.97,0.71
201104,2.80,0.54
201204,3.13,0.87
201304,2.77,0.51
201404,1.99,-0.27
201504,2.64,0.38
201604,5.20,2.94
201704,2.56,0.30
201804,1.55,-0.71
201904,1.75,-0.51
202004,0.75,-1.51
202104,1.39,-0.87
