Nevada, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,1.18,0.16
195112,1.86,0.84
195212,1.16,0.14
195312,0.57,-0.45
195412,0.97,-0.05
195512,2.44,1.42
195612,0.45,-0.57
195712,0.79,-0.23
195812,0.31,-0.71
195912,0.85,-0.17
196012,0.44,-0.58
196112,0.90,-0.12
196212,0.23,-0.79
196312,0.40,-0.62
196412,2.07,1.05
196512,1.52,0.50
196612,2.17,1.15
196712,0.74,-0.28
196812,1.08,0.06
196912,1.46,0.44
197012,1.27,0.25
197112,1.93,0.91
197212,0.84,-0.18
197312,1.07,0.05
197412,1.08,0.06
197512,0.33,-0.69
197612,0.03,-0.99
197712,1.67,0.65
197812,0.93,-0.09
197912,0.48,-0.54
198012,0.41,-0.61
198112,1.29,0.27
198212,1.03,0.01
198312,2.83,1.81
198412,1.21,0.19
198512,0.73,-0.29
198612,0.29,-0.73
198712,0.95,-0.07
198812,0.91,-0.11
198912,0.10,-0.92
199012,0.57,-0.45
199112,0.63,-0.39
199212,1.73,0.71
199312,0.49,-0.53
199412,1.13,0.11
199512,1.61,0.59
199612,2.27,1.25
199712,0.52,-0.50
199812,0.42,-0.60
199912,0.20,-0.82
200012,0.36,-0.66
200112,1.37,0.35
200212,0.81,-0.21
200312,1.71,0.69
200412,1.31,0.29
200512,1.84,0.82
200612,0.66,-0.36
200712,1.38,0.36
200812,1.12,0.10
200912,1.21,0.19
201012,2.82,1.80
201112,0.11,-0.91
201212,1.81,0.79
201312,0.63,-0.39
201412,1.33,0.31
201512,1.34,0.32
201612,1.96,0.94
201712,0.19,-0.83
201812,0.94,-0.08
201912,1.46,0.44
202012,0.59,-0.43
202112,2.11,1.09
