Nevada, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,0.37,-0.74
195102,0.88,-0.23
195202,0.75,-0.36
195302,0.32,-0.79
195402,0.69,-0.42
195502,0.59,-0.52
195602,0.49,-0.62
195702,0.71,-0.40
195802,1.54,0.43
195902,1.36,0.25
196002,1.28,0.17
196102,0.59,-0.52
196202,2.56,1.45
196302,1.10,-0.01
196402,0.12,-0.99
196502,0.39,-0.72
196602,0.62,-0.49
196702,0.13,-0.98
196802,1.63,0.52
196902,2.45,1.34
197002,0.55,-0.56
197102,0.59,-0.52
197202,0.42,-0.69
197302,1.38,0.27
197402,0.34,-0.77
197502,0.93,-0.18
197602,1.86,0.75
197702,0.31,-0.80
197802,1.92,0.81
197902,1.14,0.03
198002,1.86,0.75
198102,0.48,-0.63
198202,0.62,-0.49
198302,1.33,0.22
198402,0.80,-0.31
198502,0.58,-0.53
198602,2.20,1.09
198702,0.94,-0.17
198802,0.30,-0.81
198902,0.71,-0.40
199002,0.90,-0.21
199102,0.57,-0.54
199202,1.20,0.09
199302,1.81,0.70
199402,1.19,0.08
199502,0.50,-0.61
199602,1.44,0.33
199702,0.48,-0.63
199802,2.94,1.83
199902,0.75,-0.36
200002,2.28,1.17
200102,1.09,-0.02
200202,0.57,-0.54
200302,1.05,-0.06
200402,1.65,0.54
200502,1.43,0.32
200602,0.79,-0.32
200702,1.01,-0.10
200802,1.10,-0.01
200902,1.14,0.03
201002,1.03,-0.08
201102,0.83,-0.28
201202,0.53,-0.58
201302,0.38,-0.73
201402,1.20,0.09
201502,0.58,-0.53
201602,0.48,-0.63
201702,1.56,0.45
201802,0.42,-0.69
201902,2.41,1.30
202002,0.37,-0.74
202102,0.83,-0.28
