New Hampshire, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,2.63,-0.89
195110,3.87,0.35
195210,2.14,-1.38
195310,4.04,0.52
195410,3.08,-0.44
195510,5.67,2.15
195610,2.00,-1.52
195710,2.74,-0.78
195810,3.62,0.10
195910,7.57,4.05
196010,3.65,0.13
196110,2.16,-1.36
196210,7.82,4.30
196310,1.19,-2.33
196410,2.28,-1.24
196510,3.75,0.23
196610,3.37,-0.15
196710,2.88,-0.64
196810,2.55,-0.97
196910,2.14,-1.38
197010,3.69,0.17
197110,3.02,-0.50
197210,3.37,-0.15
197310,3.37,-0.15
197410,1.82,-1.70
197510,5.42,1.90
197610,5.69,2.17
197710,6.72,3.20
197810,3.63,0.11
197910,4.74,1.22
198010,4.05,0.53
198110,5.84,2.32
198210,2.07,-1.45
198310,3.59,0.07
198410,3.62,0.10
198510,3.09,-0.43
198610,2.19,-1.33
198710,4.79,1.27
198810,2.36,-1.16
198910,5.13,1.61
199010,7.03,3.51
199110,4.38,0.86
199210,2.82,-0.70
199310,3.38,-0.14
199410,0.94,-2.58
199510,9.03,5.51
199610,7.99,4.47
199710,1.74,-1.78
199810,4.39,0.87
199910,4.02,0.50
200010,2.98,-0.54
200110,1.74,-1.78
200210,3.64,0.12
200310,6.40,2.88
200410,1.98,-1.54
200510,13.65,10.13
200610,7.85,4.33
200710,4.97,1.45
200810,3.85,0.33
200910,5.99,2.47
201010,7.84,4.32
201110,6.22,2.70
201210,5.51,1.99
201310,1.55,-1.97
201410,5.67,2.15
201510,4.05,0.53
201610,4.60,1.08
201710,7.83,4.31
201810,4.54,1.02
201910,5.83,2.31
202010,5.65,2.13
202110,4.94,1.42
