New Hampshire, Precipitation, November
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,6.65,2.70
195111,5.95,2.00
195211,2.16,-1.79
195311,3.19,-0.76
195411,5.22,1.27
195511,3.73,-0.22
195611,3.13,-0.82
195711,5.40,1.45
195811,3.77,-0.18
195911,6.29,2.34
196011,3.00,-0.95
196111,4.05,0.10
196211,3.54,-0.41
196311,8.21,4.26
196411,3.68,-0.27
196511,3.67,-0.28
196611,3.71,-0.24
196711,3.31,-0.64
196811,6.27,2.32
196911,6.98,3.03
197011,3.00,-0.95
197111,4.02,0.07
197211,6.43,2.48
197311,3.32,-0.63
197411,4.15,0.20
197511,5.07,1.12
197611,1.79,-2.16
197711,3.95,0.00
197811,2.05,-1.90
197911,3.44,-0.51
198011,4.04,0.09
198111,2.91,-1.04
198211,4.19,0.24
198311,8.91,4.96
198411,3.42,-0.53
198511,5.37,1.42
198611,4.74,0.79
198711,2.80,-1.15
198811,6.17,2.22
198911,4.76,0.81
199011,3.58,-0.37
199111,3.91,-0.04
199211,4.61,0.66
199311,3.98,0.03
199411,3.16,-0.79
199511,5.55,1.60
199611,2.94,-1.01
199711,6.12,2.17
199811,3.10,-0.85
199911,3.10,-0.85
200011,3.80,-0.15
200111,2.21,-1.74
200211,4.84,0.89
200311,3.77,-0.18
200411,4.10,0.15
200511,5.63,1.68
200611,4.67,0.72
200711,4.43,0.48
200811,4.44,0.49
200911,4.10,0.15
201011,3.66,-0.29
201111,3.41,-0.54
201211,0.80,-3.15
201311,3.89,-0.06
201411,3.27,-0.68
201511,2.36,-1.59
201611,3.04,-0.91
201711,2.04,-1.91
201811,7.75,3.80
201911,3.70,-0.25
202011,3.08,-0.87
202111,2.85,-1.10
