New Hampshire, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,2.74,-0.14
195102,4.95,2.07
195202,3.46,0.58
195302,2.86,-0.02
195402,3.52,0.64
195502,4.17,1.29
195602,3.09,0.21
195702,1.40,-1.48
195802,2.74,-0.14
195902,2.80,-0.08
196002,4.49,1.61
196102,3.05,0.17
196202,3.25,0.37
196302,2.66,-0.22
196402,1.94,-0.94
196502,3.44,0.56
196602,2.61,-0.27
196702,3.18,0.30
196802,1.31,-1.57
196902,5.33,2.45
197002,4.53,1.65
197102,4.07,1.19
197202,3.94,1.06
197302,2.26,-0.62
197402,2.55,-0.33
197502,2.75,-0.13
197602,3.60,0.72
197702,2.54,-0.34
197802,1.22,-1.66
197902,2.20,-0.68
198002,0.95,-1.93
198102,8.09,5.21
198202,3.12,0.24
198302,2.84,-0.04
198402,4.90,2.02
198502,2.87,-0.01
198602,2.39,-0.49
198702,0.36,-2.52
198802,3.11,0.23
198902,2.38,-0.50
199002,3.26,0.38
199102,1.66,-1.22
199202,2.20,-0.68
199302,3.05,0.17
199402,1.50,-1.38
199502,2.65,-0.23
199602,3.33,0.45
199702,2.44,-0.44
199802,3.33,0.45
199902,1.99,-0.89
200002,3.56,0.68
200102,3.22,0.34
200202,3.06,0.18
200302,2.73,-0.15
200402,1.34,-1.54
200502,2.80,-0.08
200602,2.40,-0.48
200702,2.08,-0.80
200802,7.85,4.97
200902,2.37,-0.51
201002,4.10,1.22
201102,3.44,0.56
201202,1.14,-1.74
201302,3.09,0.21
201402,3.68,0.80
201502,2.42,-0.46
201602,4.72,1.84
201702,3.12,0.24
201802,3.43,0.55
201902,2.93,0.05
202002,3.35,0.47
202102,2.68,-0.20
