New Hampshire, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,3.73,0.21
195103,4.76,1.24
195203,3.12,-0.40
195303,8.03,4.51
195403,4.02,0.50
195503,4.10,0.58
195603,4.82,1.30
195703,1.56,-1.96
195803,2.58,-0.94
195903,3.66,0.14
196003,2.55,-0.97
196103,2.55,-0.97
196203,2.02,-1.50
196303,3.17,-0.35
196403,4.21,0.69
196503,1.06,-2.46
196603,2.96,-0.56
196703,1.97,-1.55
196803,4.40,0.88
196903,2.98,-0.54
197003,3.31,-0.21
197103,3.37,-0.15
197203,5.21,1.69
197303,2.93,-0.59
197403,4.46,0.94
197503,3.35,-0.17
197603,3.38,-0.14
197703,5.34,1.82
197803,2.61,-0.91
197903,3.35,-0.17
198003,4.77,1.25
198103,1.17,-2.35
198203,2.97,-0.55
198303,6.72,3.20
198403,4.06,0.54
198503,3.20,-0.32
198603,4.17,0.65
198703,2.88,-0.64
198803,1.69,-1.83
198903,2.76,-0.76
199003,2.23,-1.29
199103,3.89,0.37
199203,4.04,0.52
199303,4.36,0.84
199403,4.94,1.42
199503,2.73,-0.79
199603,2.28,-1.24
199703,4.20,0.68
199803,4.00,0.48
199903,5.08,1.56
200003,3.75,0.23
200103,6.06,2.54
200203,3.93,0.41
200303,3.20,-0.32
200403,1.80,-1.72
200503,3.98,0.46
200603,1.42,-2.10
200703,3.54,0.02
200803,5.17,1.65
200903,2.84,-0.68
201003,7.41,3.89
201103,4.87,1.35
201203,1.95,-1.57
201303,2.29,-1.23
201403,4.11,0.59
201503,1.65,-1.87
201603,3.46,-0.06
201703,3.11,-0.41
201803,2.76,-0.76
201903,1.73,-1.79
202003,3.08,-0.44
202103,1.80,-1.72
