New Jersey, Precipitation, November
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,5.16,1.76
195111,6.45,3.05
195211,4.86,1.46
195311,2.91,-0.49
195411,5.12,1.72
195511,2.30,-1.10
195611,3.76,0.36
195711,3.96,0.56
195811,2.78,-0.62
195911,4.25,0.85
196011,2.25,-1.15
196111,2.62,-0.78
196211,4.79,1.39
196311,6.74,3.34
196411,2.01,-1.39
196511,1.40,-2.00
196611,2.82,-0.58
196711,2.11,-1.29
196811,4.93,1.53
196911,3.33,-0.07
197011,5.31,1.91
197111,5.16,1.76
197211,9.01,5.61
197311,1.45,-1.95
197411,1.54,-1.86
197511,3.68,0.28
197611,0.59,-2.81
197711,7.49,4.09
197811,2.49,-0.91
197911,3.54,0.14
198011,3.26,-0.14
198111,1.56,-1.84
198211,3.66,0.26
198311,6.21,2.81
198411,2.39,-1.01
198511,6.20,2.80
198611,6.33,2.93
198711,3.14,-0.26
198811,6.40,3.00
198911,2.74,-0.66
199011,2.26,-1.14
199111,1.97,-1.43
199211,4.76,1.36
199311,2.86,-0.54
199411,3.67,0.27
199511,5.07,1.67
199611,2.59,-0.81
199711,4.16,0.76
199811,1.35,-2.05
199911,2.38,-1.02
200011,3.15,-0.25
200111,1.00,-2.40
200211,5.10,1.70
200311,4.32,0.92
200411,4.62,1.22
200511,3.91,0.51
200611,5.88,2.48
200711,2.34,-1.06
200811,3.80,0.40
200911,2.19,-1.21
201011,2.17,-1.23
201111,3.83,0.43
201211,1.30,-2.10
201311,2.89,-0.51
201411,4.34,0.94
201511,2.30,-1.10
201611,2.43,-0.97
201711,1.70,-1.70
201811,8.65,5.25
201911,1.94,-1.46
202011,4.09,0.69
202111,1.01,-2.39
