New Jersey, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,3.62,-0.14
195109,1.83,-1.93
195209,3.70,-0.06
195309,1.51,-2.25
195409,5.21,1.45
195509,2.52,-1.24
195609,3.57,-0.19
195709,3.14,-0.62
195809,3.92,0.16
195909,2.01,-1.75
196009,7.60,3.84
196109,2.60,-1.16
196209,3.54,-0.22
196309,4.59,0.83
196409,3.19,-0.57
196509,2.49,-1.27
196609,7.57,3.81
196709,2.11,-1.65
196809,1.70,-2.06
196909,4.25,0.49
197009,1.70,-2.06
197109,5.96,2.20
197209,2.23,-1.53
197309,3.42,-0.34
197409,5.65,1.89
197509,8.05,4.29
197609,2.65,-1.11
197709,4.61,0.85
197809,2.42,-1.34
197909,6.30,2.54
198009,2.03,-1.73
198109,3.36,-0.40
198209,2.38,-1.38
198309,2.96,-0.80
198409,2.22,-1.54
198509,5.51,1.75
198609,2.52,-1.24
198709,4.54,0.78
198809,2.76,-1.00
198909,6.99,3.23
199009,2.24,-1.52
199109,4.12,0.36
199209,4.04,0.28
199309,5.51,1.75
199409,2.97,-0.79
199509,4.22,0.46
199609,5.66,1.90
199709,2.29,-1.47
199809,2.00,-1.76
199909,9.50,5.74
200009,5.23,1.47
200109,2.93,-0.83
200209,3.95,0.19
200309,6.26,2.50
200409,6.06,2.30
200509,1.19,-2.57
200609,5.85,2.09
200709,0.99,-2.77
200809,6.16,2.40
200909,3.99,0.23
201009,3.18,-0.58
201109,7.12,3.36
201209,4.45,0.69
201309,2.11,-1.65
201409,2.50,-1.26
201509,3.60,-0.16
201609,3.45,-0.31
201709,2.27,-1.49
201809,7.57,3.81
201909,1.25,-2.51
202009,4.41,0.65
202109,6.45,2.69
