New Mexico, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,0.27,-0.48
195104,0.73,-0.02
195204,1.28,0.53
195304,0.62,-0.13
195404,0.28,-0.47
195504,0.46,-0.29
195604,0.15,-0.60
195704,0.91,0.16
195804,1.25,0.50
195904,0.69,-0.06
196004,0.17,-0.58
196104,0.54,-0.21
196204,0.38,-0.37
196304,0.29,-0.46
196404,0.59,-0.16
196504,0.74,-0.01
196604,0.56,-0.19
196704,0.13,-0.62
196804,0.44,-0.31
196904,0.73,-0.02
197004,0.45,-0.30
197104,0.49,-0.26
197204,0.04,-0.71
197304,0.58,-0.17
197404,0.26,-0.49
197504,0.54,-0.21
197604,0.62,-0.13
197704,1.30,0.55
197804,0.20,-0.55
197904,0.57,-0.18
198004,0.85,0.10
198104,0.72,-0.03
198204,0.24,-0.51
198304,0.69,-0.06
198404,0.55,-0.20
198504,1.61,0.86
198604,0.54,-0.21
198704,0.45,-0.30
198804,1.24,0.49
198904,0.11,-0.64
199004,1.07,0.32
199104,0.06,-0.69
199204,0.62,-0.13
199304,0.32,-0.43
199404,0.72,-0.03
199504,0.64,-0.11
199604,0.20,-0.55
199704,1.87,1.12
199804,0.56,-0.19
199904,1.45,0.70
200004,0.34,-0.41
200104,0.41,-0.34
200204,0.26,-0.49
200304,0.16,-0.59
200404,2.61,1.86
200504,0.84,0.09
200604,0.29,-0.46
200704,0.77,0.02
200804,0.16,-0.59
200904,0.46,-0.29
201004,0.87,0.12
201104,0.25,-0.50
201204,0.39,-0.36
201304,0.18,-0.57
201404,0.37,-0.38
201504,0.74,-0.01
201604,0.98,0.23
201704,0.99,0.24
201804,0.15,-0.60
201904,0.83,0.08
202004,0.19,-0.56
202104,0.37,-0.38
