Arkansas, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,10.00,5.96
195101,5.78,1.74
195201,3.96,-0.08
195301,3.81,-0.23
195401,6.17,2.13
195501,1.72,-2.32
195601,3.41,-0.63
195701,6.18,2.14
195801,3.07,-0.97
195901,2.38,-1.66
196001,3.70,-0.34
196101,1.25,-2.79
196201,5.02,0.98
196301,1.01,-3.03
196401,1.34,-2.70
196501,4.02,-0.02
196601,4.30,0.26
196701,1.56,-2.48
196801,4.64,0.60
196901,5.84,1.80
197001,1.04,-3.00
197101,2.50,-1.54
197201,3.15,-0.89
197301,4.74,0.70
197401,5.22,1.18
197501,3.59,-0.45
197601,2.37,-1.67
197701,2.86,-1.18
197801,4.72,0.68
197901,4.62,0.58
198001,2.89,-1.15
198101,1.12,-2.92
198201,5.85,1.81
198301,1.13,-2.91
198401,1.67,-2.37
198501,3.01,-1.03
198601,0.45,-3.59
198701,2.42,-1.62
198801,2.60,-1.44
198901,4.57,0.53
199001,6.27,2.23
199101,4.59,0.55
199201,2.42,-1.62
199301,4.77,0.73
199401,5.44,1.40
199501,5.08,1.04
199601,2.81,-1.23
199701,2.93,-1.11
199801,6.33,2.29
199901,6.89,2.85
200001,2.32,-1.72
200101,3.48,-0.56
200201,4.01,-0.03
200301,0.67,-3.37
200401,3.26,-0.78
200501,5.32,1.28
200601,4.61,0.57
200701,6.92,2.88
200801,1.73,-2.31
200901,2.74,-1.30
201001,3.92,-0.12
201101,1.60,-2.44
201201,2.92,-1.12
201301,6.04,2.00
201401,1.98,-2.06
201501,3.49,-0.55
201601,2.02,-2.02
201701,3.02,-1.02
201801,2.70,-1.34
201901,4.51,0.47
202001,6.15,2.11
202101,4.14,0.10
