New York, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,3.55,0.43
195112,4.25,1.13
195212,4.11,0.99
195312,3.30,0.18
195412,4.08,0.96
195512,1.54,-1.58
195612,3.46,0.34
195712,4.33,1.21
195812,1.45,-1.67
195912,4.16,1.04
196012,1.53,-1.59
196112,2.44,-0.68
196212,2.73,-0.39
196312,2.30,-0.82
196412,3.39,0.27
196512,1.98,-1.14
196612,3.15,0.03
196712,3.08,-0.04
196812,4.33,1.21
196912,4.82,1.70
197012,3.76,0.64
197112,3.53,0.41
197212,4.88,1.76
197312,6.18,3.06
197412,3.56,0.44
197512,3.59,0.47
197612,2.21,-0.91
197712,5.01,1.89
197812,3.89,0.77
197912,2.14,-0.98
198012,2.16,-0.96
198112,2.66,-0.46
198212,2.38,-0.74
198312,5.93,2.81
198412,3.81,0.69
198512,2.52,-0.60
198612,3.35,0.23
198712,2.24,-0.88
198812,1.66,-1.46
198912,1.41,-1.71
199012,5.48,2.36
199112,3.17,0.05
199212,3.05,-0.07
199312,3.12,0.00
199412,2.64,-0.48
199512,2.38,-0.74
199612,4.89,1.77
199712,3.09,-0.03
199812,1.69,-1.43
199912,1.98,-1.14
200012,3.48,0.36
200112,2.74,-0.38
200212,3.54,0.42
200312,4.42,1.30
200412,4.19,1.07
200512,2.80,-0.32
200612,3.31,0.19
200712,4.83,1.71
200812,5.29,2.17
200912,3.64,0.52
201012,3.31,0.19
201112,3.44,0.32
201212,5.31,2.19
201312,3.61,0.49
201412,3.49,0.37
201512,4.06,0.94
201612,3.47,0.35
201712,2.56,-0.56
201812,3.27,0.15
201912,4.01,0.89
202012,4.00,0.88
202112,2.63,-0.49
