New York, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,3.33,-0.44
195106,4.36,0.59
195206,3.01,-0.76
195306,2.00,-1.77
195406,3.95,0.18
195506,2.25,-1.52
195606,2.37,-1.40
195706,3.74,-0.03
195806,4.09,0.32
195906,3.20,-0.57
196006,4.27,0.50
196106,4.66,0.89
196206,2.80,-0.97
196306,2.44,-1.33
196406,1.90,-1.87
196506,2.27,-1.50
196606,2.87,-0.90
196706,3.12,-0.65
196806,4.82,1.05
196906,4.60,0.83
197006,3.14,-0.63
197106,2.59,-1.18
197206,8.58,4.81
197306,5.02,1.25
197406,3.84,0.07
197506,4.37,0.60
197606,5.04,1.27
197706,3.43,-0.34
197806,3.53,-0.24
197906,1.91,-1.86
198006,4.29,0.52
198106,3.86,0.09
198206,5.88,2.11
198306,3.02,-0.75
198406,3.19,-0.58
198506,3.95,0.18
198606,5.69,1.92
198706,4.46,0.69
198806,1.58,-2.19
198906,5.83,2.06
199006,3.29,-0.48
199106,1.60,-2.17
199206,2.87,-0.90
199306,3.93,0.16
199406,5.07,1.30
199506,1.79,-1.98
199606,4.81,1.04
199706,2.97,-0.80
199806,6.74,2.97
199906,2.19,-1.58
200006,5.32,1.55
200106,4.29,0.52
200206,5.44,1.67
200306,4.08,0.31
200406,2.88,-0.89
200506,3.62,-0.15
200606,7.16,3.39
200706,2.91,-0.86
200806,4.38,0.61
200906,5.03,1.26
201006,5.57,1.80
201106,4.25,0.48
201206,3.34,-0.43
201306,7.46,3.69
201406,5.11,1.34
201506,7.69,3.92
201606,2.87,-0.90
201706,4.85,1.08
201806,3.28,-0.49
201906,5.01,1.24
202006,2.38,-1.39
202106,3.35,-0.42
