New York, Precipitation, July
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195007,3.84,0.04
195107,5.03,1.23
195207,4.01,0.21
195307,3.16,-0.64
195407,2.10,-1.70
195507,2.46,-1.34
195607,4.15,0.35
195707,3.78,-0.02
195807,4.55,0.75
195907,3.05,-0.75
196007,3.29,-0.51
196107,3.88,0.08
196207,3.29,-0.51
196307,3.03,-0.77
196407,2.99,-0.81
196507,2.53,-1.27
196607,2.49,-1.31
196707,4.30,0.50
196807,2.12,-1.68
196907,3.93,0.13
197007,3.95,0.15
197107,4.63,0.83
197207,3.87,0.07
197307,2.71,-1.09
197407,4.33,0.53
197507,4.72,0.92
197607,4.64,0.84
197707,3.67,-0.13
197807,2.91,-0.89
197907,2.71,-1.09
198007,3.62,-0.18
198107,4.18,0.38
198207,2.62,-1.18
198307,1.93,-1.87
198407,4.33,0.53
198507,3.00,-0.80
198607,5.57,1.77
198707,4.31,0.51
198807,5.04,1.24
198907,3.17,-0.63
199007,3.44,-0.36
199107,3.04,-0.76
199207,6.49,2.69
199307,2.44,-1.36
199407,3.46,-0.34
199507,4.08,0.28
199607,5.54,1.74
199707,3.24,-0.56
199807,3.94,0.14
199907,3.28,-0.52
200007,4.34,0.54
200107,2.40,-1.40
200207,2.00,-1.80
200307,4.53,0.73
200407,6.08,2.28
200507,4.05,0.25
200607,5.21,1.41
200707,4.71,0.91
200807,5.52,1.72
200907,5.51,1.71
201007,4.02,0.22
201107,2.55,-1.25
201207,3.14,-0.66
201307,4.62,0.82
201407,5.33,1.53
201507,3.60,-0.20
201607,3.40,-0.40
201707,5.24,1.44
201807,4.62,0.82
201907,3.67,-0.13
202007,4.10,0.30
202107,8.12,4.32
