New York, Precipitation, August
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,4.41,0.71
195108,2.65,-1.05
195208,3.48,-0.22
195308,3.02,-0.68
195408,4.20,0.50
195508,7.12,3.42
195608,3.69,-0.01
195708,1.62,-2.08
195808,3.18,-0.52
195908,4.22,0.52
196008,2.80,-0.90
196108,3.78,0.08
196208,3.62,-0.08
196308,4.16,0.46
196408,3.56,-0.14
196508,4.25,0.55
196608,3.37,-0.33
196708,4.89,1.19
196808,3.07,-0.63
196908,2.89,-0.81
197008,3.67,-0.03
197108,4.62,0.92
197208,3.35,-0.35
197308,2.69,-1.01
197408,3.66,-0.04
197508,4.82,1.12
197608,4.65,0.95
197708,5.41,1.71
197808,3.89,0.19
197908,4.58,0.88
198008,2.94,-0.76
198108,3.25,-0.45
198208,3.01,-0.69
198308,4.82,1.12
198408,4.34,0.64
198508,3.22,-0.48
198608,4.49,0.79
198708,3.82,0.12
198808,4.47,0.77
198908,3.60,-0.10
199008,5.01,1.31
199108,4.15,0.45
199208,4.42,0.72
199308,2.87,-0.83
199408,5.50,1.80
199508,2.42,-1.28
199608,2.69,-1.01
199708,4.10,0.40
199808,3.41,-0.29
199908,2.84,-0.86
200008,4.16,0.46
200108,3.11,-0.59
200208,2.63,-1.07
200308,4.60,0.90
200408,5.72,2.02
200508,4.24,0.54
200608,4.26,0.56
200708,2.55,-1.15
200808,4.06,0.36
200908,5.05,1.35
201008,4.47,0.77
201108,7.76,4.06
201208,3.19,-0.51
201308,3.85,0.15
201408,3.69,-0.01
201508,3.07,-0.63
201608,4.54,0.84
201708,3.46,-0.24
201808,5.36,1.66
201908,3.91,0.21
202008,4.61,0.91
202108,5.35,1.65
