North Carolina, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,2.82,-1.09
195101,1.57,-2.34
195201,3.60,-0.31
195301,3.78,-0.13
195401,6.25,2.34
195501,2.66,-1.25
195601,1.79,-2.12
195701,3.47,-0.44
195801,4.05,0.14
195901,2.62,-1.29
196001,4.94,1.03
196101,2.70,-1.21
196201,5.78,1.87
196301,4.00,0.09
196401,5.41,1.50
196501,2.15,-1.76
196601,5.23,1.32
196701,3.10,-0.81
196801,4.30,0.39
196901,2.75,-1.16
197001,2.33,-1.58
197101,4.27,0.36
197201,4.27,0.36
197301,3.81,-0.10
197401,4.58,0.67
197501,5.61,1.70
197601,3.71,-0.20
197701,3.03,-0.88
197801,7.18,3.27
197901,6.22,2.31
198001,4.53,0.62
198101,1.05,-2.86
198201,5.55,1.64
198301,3.04,-0.87
198401,3.33,-0.58
198501,3.82,-0.09
198601,1.71,-2.20
198701,6.26,2.35
198801,3.59,-0.32
198901,2.48,-1.43
199001,3.83,-0.08
199101,5.15,1.24
199201,3.90,-0.01
199301,5.81,1.90
199401,5.06,1.15
199501,5.40,1.49
199601,5.26,1.35
199701,3.63,-0.28
199801,7.68,3.77
199901,5.73,1.82
200001,4.92,1.01
200101,2.02,-1.89
200201,4.97,1.06
200301,2.20,-1.71
200401,1.57,-2.34
200501,2.58,-1.33
200601,3.31,-0.60
200701,3.64,-0.27
200801,1.87,-2.04
200901,2.83,-1.08
201001,5.00,1.09
201101,1.95,-1.96
201201,2.86,-1.05
201301,4.69,0.78
201401,3.29,-0.62
201501,3.95,0.04
201601,2.80,-1.11
201701,3.96,0.05
201801,3.79,-0.12
201901,3.85,-0.06
202001,4.37,0.46
202101,4.63,0.72
