North Carolina, Precipitation, November
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,1.50,-1.52
195111,3.69,0.67
195211,4.13,1.11
195311,2.39,-0.63
195411,2.82,-0.20
195511,2.39,-0.63
195611,1.67,-1.35
195711,7.04,4.02
195811,1.71,-1.31
195911,2.64,-0.38
196011,1.48,-1.54
196111,2.82,-0.20
196211,5.79,2.77
196311,5.39,2.37
196411,2.12,-0.90
196511,1.66,-1.36
196611,2.06,-0.96
196711,2.62,-0.40
196811,3.93,0.91
196911,3.02,0.00
197011,2.37,-0.65
197111,2.52,-0.50
197211,5.53,2.51
197311,1.64,-1.38
197411,2.49,-0.53
197511,2.73,-0.29
197611,2.64,-0.38
197711,5.00,1.98
197811,3.98,0.96
197911,5.47,2.45
198011,2.73,-0.29
198111,1.03,-1.99
198211,3.29,0.27
198311,4.50,1.48
198411,2.07,-0.95
198511,6.95,3.93
198611,3.96,0.94
198711,3.50,0.48
198811,3.80,0.78
198911,3.39,0.37
199011,2.19,-0.83
199111,2.12,-0.90
199211,6.35,3.33
199311,2.90,-0.12
199411,3.01,-0.01
199511,4.18,1.16
199611,3.54,0.52
199711,3.77,0.75
199811,2.10,-0.92
199911,2.37,-0.65
200011,3.14,0.12
200111,1.15,-1.87
200211,4.51,1.49
200311,2.79,-0.23
200411,4.00,0.98
200511,3.71,0.69
200611,6.75,3.73
200711,0.91,-2.11
200811,3.49,0.47
200911,6.89,3.87
201011,1.59,-1.43
201111,4.33,1.31
201211,0.93,-2.09
201311,3.53,0.51
201411,3.77,0.75
201511,7.20,4.18
201611,1.11,-1.91
201711,1.30,-1.72
201811,6.33,3.31
201911,3.34,0.32
202011,6.15,3.13
202111,0.91,-2.11
