North Carolina, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,5.66,1.67
195105,1.61,-2.38
195205,3.48,-0.51
195305,3.30,-0.69
195405,4.06,0.07
195505,3.81,-0.18
195605,3.40,-0.59
195705,3.95,-0.04
195805,4.86,0.87
195905,3.25,-0.74
196005,4.06,0.07
196105,4.56,0.57
196205,2.49,-1.50
196305,4.02,0.03
196405,1.97,-2.02
196505,2.94,-1.05
196605,5.66,1.67
196705,4.26,0.27
196805,3.80,-0.19
196905,3.27,-0.72
197005,2.77,-1.22
197105,5.26,1.27
197205,6.19,2.20
197305,4.87,0.88
197405,6.38,2.39
197505,5.69,1.70
197605,6.04,2.05
197705,4.01,0.02
197805,4.65,0.66
197905,5.83,1.84
198005,4.06,0.07
198105,4.88,0.89
198205,3.79,-0.20
198305,3.68,-0.31
198405,6.75,2.76
198505,3.34,-0.65
198605,3.04,-0.95
198705,2.15,-1.84
198805,3.67,-0.32
198905,5.08,1.09
199005,6.47,2.48
199105,3.14,-0.85
199205,4.35,0.36
199305,2.97,-1.02
199405,2.73,-1.26
199505,4.02,0.03
199605,3.73,-0.26
199705,2.15,-1.84
199805,4.58,0.59
199905,2.78,-1.21
200005,2.70,-1.29
200105,3.27,-0.72
200205,2.79,-1.20
200305,7.46,3.47
200405,3.99,0.00
200505,3.58,-0.41
200605,3.23,-0.76
200705,1.75,-2.24
200805,2.94,-1.05
200905,5.87,1.88
201005,4.68,0.69
201105,3.14,-0.85
201205,6.24,2.25
201305,3.96,-0.03
201405,3.62,-0.37
201505,2.62,-1.37
201605,5.57,1.58
201705,5.95,1.96
201805,6.79,2.80
201905,2.28,-1.71
202005,7.62,3.63
202105,2.48,-1.51
