North Dakota, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,1.09,0.60
195101,0.57,0.08
195201,0.70,0.21
195301,0.43,-0.06
195401,0.71,0.22
195501,0.42,-0.07
195601,0.67,0.18
195701,0.30,-0.19
195801,0.26,-0.23
195901,0.25,-0.24
196001,0.50,0.01
196101,0.10,-0.39
196201,0.54,0.05
196301,0.16,-0.33
196401,0.31,-0.18
196501,0.39,-0.10
196601,0.28,-0.21
196701,0.95,0.46
196801,0.46,-0.03
196901,1.23,0.74
197001,0.49,0.00
197101,0.79,0.30
197201,0.57,0.08
197301,0.09,-0.40
197401,0.31,-0.18
197501,0.49,0.00
197601,0.70,0.21
197701,0.56,0.07
197801,0.24,-0.25
197901,0.34,-0.15
198001,0.73,0.24
198101,0.32,-0.17
198201,0.96,0.47
198301,0.41,-0.08
198401,0.49,0.00
198501,0.23,-0.26
198601,0.42,-0.07
198701,0.26,-0.23
198801,0.62,0.13
198901,0.93,0.44
199001,0.22,-0.27
199101,0.18,-0.31
199201,0.38,-0.11
199301,0.46,-0.03
199401,0.74,0.25
199501,0.49,0.00
199601,0.84,0.35
199701,0.91,0.42
199801,0.41,-0.08
199901,0.92,0.43
200001,0.26,-0.23
200101,0.23,-0.26
200201,0.32,-0.17
200301,0.32,-0.17
200401,0.76,0.27
200501,0.60,0.11
200601,0.27,-0.22
200701,0.14,-0.35
200801,0.10,-0.39
200901,0.63,0.14
201001,0.79,0.30
201101,0.96,0.47
201201,0.33,-0.16
201301,0.34,-0.15
201401,0.41,-0.08
201501,0.48,-0.01
201601,0.22,-0.27
201701,0.48,-0.01
201801,0.23,-0.26
201901,0.42,-0.07
202001,0.38,-0.11
202101,0.25,-0.24
