North Dakota, Precipitation, November
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,0.49,-0.13
195111,0.28,-0.34
195211,0.46,-0.16
195311,0.37,-0.25
195411,0.21,-0.41
195511,0.91,0.29
195611,1.34,0.72
195711,0.62,0.00
195811,1.47,0.85
195911,0.88,0.26
196011,0.38,-0.24
196111,0.07,-0.55
196211,0.49,-0.13
196311,0.10,-0.52
196411,0.60,-0.02
196511,0.44,-0.18
196611,0.32,-0.30
196711,0.19,-0.43
196811,0.47,-0.15
196911,0.07,-0.55
197011,0.98,0.36
197111,0.41,-0.21
197211,0.14,-0.48
197311,0.68,0.06
197411,0.58,-0.04
197511,0.53,-0.09
197611,0.13,-0.49
197711,1.43,0.81
197811,0.96,0.34
197911,0.25,-0.37
198011,0.42,-0.20
198111,0.61,-0.01
198211,0.47,-0.15
198311,0.64,0.02
198411,0.45,-0.17
198511,1.03,0.41
198611,1.41,0.79
198711,0.19,-0.43
198811,0.67,0.05
198911,0.58,-0.04
199011,0.08,-0.54
199111,0.48,-0.14
199211,1.07,0.45
199311,1.03,0.41
199411,1.03,0.41
199511,0.81,0.19
199611,1.43,0.81
199711,0.34,-0.28
199811,1.22,0.60
199911,0.05,-0.57
200011,2.33,1.71
200111,0.24,-0.38
200211,0.13,-0.49
200311,0.47,-0.15
200411,0.12,-0.50
200511,1.15,0.53
200611,0.17,-0.45
200711,0.17,-0.45
200811,1.44,0.82
200911,0.07,-0.55
201011,0.63,0.01
201111,0.16,-0.46
201211,0.68,0.06
201311,0.21,-0.41
201411,0.46,-0.16
201511,0.49,-0.13
201611,0.91,0.29
201711,0.31,-0.31
201811,0.76,0.14
201911,0.61,-0.01
202011,0.11,-0.51
202111,0.45,-0.17
