North Dakota, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,1.41,0.04
195104,0.77,-0.60
195204,0.13,-1.24
195304,2.58,1.21
195404,1.18,-0.19
195504,1.50,0.13
195604,0.35,-1.02
195704,1.55,0.18
195804,0.98,-0.39
195904,0.44,-0.93
196004,1.05,-0.32
196104,1.70,0.33
196204,0.61,-0.76
196304,2.37,1.00
196404,2.18,0.81
196504,2.01,0.64
196604,1.37,0.00
196704,3.35,1.98
196804,1.78,0.41
196904,0.90,-0.47
197004,3.20,1.83
197104,1.64,0.27
197204,1.06,-0.31
197304,1.35,-0.02
197404,2.46,1.09
197504,3.67,2.30
197604,2.24,0.87
197704,0.38,-0.99
197804,1.36,-0.01
197904,2.01,0.64
198004,0.37,-1.00
198104,0.83,-0.54
198204,0.68,-0.69
198304,0.43,-0.94
198404,2.90,1.53
198504,0.95,-0.42
198604,3.71,2.34
198704,0.11,-1.26
198804,0.12,-1.25
198904,1.75,0.38
199004,1.14,-0.23
199104,2.29,0.92
199204,1.02,-0.35
199304,1.04,-0.33
199404,1.12,-0.25
199504,0.98,-0.39
199604,0.58,-0.79
199704,2.11,0.74
199804,0.96,-0.41
199904,1.19,-0.18
200004,1.29,-0.08
200104,1.74,0.37
200204,1.28,-0.09
200304,1.09,-0.28
200404,0.71,-0.66
200504,0.57,-0.80
200604,1.60,0.23
200704,1.05,-0.32
200804,0.68,-0.69
200904,1.10,-0.27
201004,1.58,0.21
201104,1.87,0.50
201204,2.06,0.69
201304,1.06,-0.31
201404,2.10,0.73
201504,0.59,-0.78
201604,2.53,1.16
201704,0.97,-0.40
201804,0.50,-0.87
201904,1.15,-0.22
202004,0.80,-0.57
202104,0.64,-0.73
