North Dakota, Precipitation, August
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,1.60,-0.52
195108,4.10,1.98
195208,2.27,0.15
195308,1.74,-0.38
195408,2.72,0.60
195508,1.68,-0.44
195608,2.83,0.71
195708,3.04,0.92
195808,1.02,-1.10
195908,1.96,-0.16
196008,3.40,1.28
196108,0.74,-1.38
196208,2.44,0.32
196308,2.21,0.09
196408,2.78,0.66
196508,2.25,0.13
196608,3.23,1.11
196708,0.82,-1.30
196808,3.97,1.85
196908,1.05,-1.07
197008,0.78,-1.34
197108,0.83,-1.29
197208,2.64,0.52
197308,1.60,-0.52
197408,2.57,0.45
197508,2.01,-0.11
197608,1.21,-0.91
197708,2.19,0.07
197808,1.83,-0.29
197908,1.47,-0.65
198008,4.52,2.40
198108,2.54,0.42
198208,1.79,-0.33
198308,1.91,-0.21
198408,1.33,-0.79
198508,3.45,1.33
198608,1.66,-0.46
198708,2.42,0.30
198808,1.38,-0.74
198908,2.57,0.45
199008,1.69,-0.43
199108,1.82,-0.30
199208,2.01,-0.11
199308,2.47,0.35
199408,1.51,-0.61
199508,2.21,0.09
199608,1.17,-0.95
199708,1.45,-0.67
199808,3.01,0.89
199908,3.36,1.24
200008,2.50,0.38
200108,0.93,-1.19
200208,3.02,0.90
200308,1.17,-0.95
200408,2.00,-0.12
200508,2.25,0.13
200608,2.50,0.38
200708,1.97,-0.15
200808,2.21,0.09
200908,1.93,-0.19
201008,2.40,0.28
201108,2.46,0.34
201208,1.52,-0.60
201308,1.63,-0.49
201408,4.44,2.32
201508,1.59,-0.53
201608,2.44,0.32
201708,2.79,0.67
201808,1.45,-0.67
201908,2.85,0.73
202008,2.08,-0.04
202108,2.73,0.61
