Ohio, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,3.87,0.36
195104,3.27,-0.24
195204,3.80,0.29
195304,2.90,-0.61
195404,3.92,0.41
195504,3.00,-0.51
195604,3.70,0.19
195704,5.73,2.22
195804,3.97,0.46
195904,3.87,0.36
196004,1.53,-1.98
196104,5.78,2.27
196204,1.54,-1.97
196304,2.79,-0.72
196404,6.27,2.76
196504,4.28,0.77
196604,3.78,0.27
196704,3.31,-0.20
196804,2.76,-0.75
196904,3.69,0.18
197004,5.17,1.66
197104,0.97,-2.54
197204,5.35,1.84
197304,4.40,0.89
197404,3.07,-0.44
197504,2.83,-0.68
197604,1.85,-1.66
197704,3.94,0.43
197804,3.36,-0.15
197904,4.17,0.66
198004,2.66,-0.85
198104,5.03,1.52
198204,1.74,-1.77
198304,4.63,1.12
198404,4.10,0.59
198504,1.55,-1.96
198604,2.24,-1.27
198704,2.80,-0.71
198804,2.44,-1.07
198904,4.14,0.63
199004,3.02,-0.49
199104,3.73,0.22
199204,3.09,-0.42
199304,3.91,0.40
199404,4.63,1.12
199504,3.60,0.09
199604,5.46,1.95
199704,1.63,-1.88
199804,5.59,2.08
199904,4.05,0.54
200004,4.05,0.54
200104,3.54,0.03
200204,4.75,1.24
200304,2.53,-0.98
200404,3.22,-0.29
200504,4.42,0.91
200604,3.18,-0.33
200704,3.42,-0.09
200804,2.52,-0.99
200904,3.87,0.36
201004,2.18,-1.33
201104,7.63,4.12
201204,1.93,-1.58
201304,3.84,0.33
201404,5.28,1.77
201504,4.58,1.07
201604,3.40,-0.11
201704,4.06,0.55
201804,4.63,1.12
201904,4.31,0.80
202004,3.66,0.15
202104,2.88,-0.63
