Ohio, Precipitation, July
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195007,4.29,0.31
195107,2.74,-1.24
195207,3.10,-0.88
195307,3.62,-0.36
195407,3.33,-0.65
195507,4.19,0.21
195607,4.70,0.72
195707,2.77,-1.21
195807,7.90,3.92
195907,4.50,0.52
196007,3.83,-0.15
196107,5.21,1.23
196207,4.60,0.62
196307,3.61,-0.37
196407,2.88,-1.10
196507,3.09,-0.89
196607,4.65,0.67
196707,3.61,-0.37
196807,3.49,-0.49
196907,6.07,2.09
197007,4.38,0.40
197107,4.06,0.08
197207,3.30,-0.68
197307,4.60,0.62
197407,1.69,-2.29
197507,3.00,-0.98
197607,4.63,0.65
197707,4.65,0.67
197807,3.32,-0.66
197907,4.79,0.81
198007,6.15,2.17
198107,3.88,-0.10
198207,2.66,-1.32
198307,3.66,-0.32
198407,3.43,-0.55
198507,3.94,-0.04
198607,4.82,0.84
198707,4.08,0.10
198807,4.44,0.46
198907,3.79,-0.19
199007,6.27,2.29
199107,2.82,-1.16
199207,8.77,4.79
199307,3.87,-0.11
199407,3.61,-0.37
199507,3.23,-0.75
199607,4.57,0.59
199707,3.36,-0.62
199807,3.33,-0.65
199907,3.65,-0.33
200007,3.94,-0.04
200107,3.63,-0.35
200207,2.75,-1.23
200307,6.71,2.73
200407,4.56,0.58
200507,4.17,0.19
200607,5.55,1.57
200707,3.62,-0.36
200807,3.61,-0.37
200907,4.05,0.07
201007,3.45,-0.53
201107,3.80,-0.18
201207,3.45,-0.53
201307,6.68,2.70
201407,3.45,-0.53
201507,4.75,0.77
201607,3.23,-0.75
201707,6.29,2.31
201807,3.26,-0.72
201907,4.45,0.47
202007,3.16,-0.82
202107,5.66,1.68
