Oklahoma, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,0.62,-2.37
195110,3.45,0.46
195210,0.14,-2.85
195310,4.31,1.32
195410,3.28,0.29
195510,2.89,-0.10
195610,2.26,-0.73
195710,2.36,-0.63
195810,0.62,-2.37
195910,6.42,3.43
196010,4.58,1.59
196110,2.60,-0.39
196210,3.18,0.19
196310,0.70,-2.29
196410,0.96,-2.03
196510,1.58,-1.41
196610,0.73,-2.26
196710,3.26,0.27
196810,2.40,-0.59
196910,4.28,1.29
197010,4.23,1.24
197110,4.51,1.52
197210,5.29,2.30
197310,3.59,0.60
197410,4.78,1.79
197510,0.99,-2.00
197610,2.95,-0.04
197710,1.22,-1.77
197810,0.50,-2.49
197910,2.46,-0.53
198010,1.86,-1.13
198110,7.06,4.07
198210,1.44,-1.55
198310,6.36,3.37
198410,5.76,2.77
198510,5.53,2.54
198610,5.96,2.97
198710,1.67,-1.32
198810,1.73,-1.26
198910,1.64,-1.35
199010,1.91,-1.08
199110,4.41,1.42
199210,0.78,-2.21
199310,2.07,-0.92
199410,3.45,0.46
199510,1.09,-1.90
199610,2.60,-0.39
199710,4.02,1.03
199810,6.69,3.70
199910,1.90,-1.09
200010,6.45,3.46
200110,2.21,-0.78
200210,5.11,2.12
200310,1.67,-1.32
200410,5.11,2.12
200510,2.01,-0.98
200610,2.85,-0.14
200710,3.04,0.05
200810,2.92,-0.07
200910,6.96,3.97
201010,1.67,-1.32
201110,2.79,-0.20
201210,1.20,-1.79
201310,3.10,0.11
201410,3.44,0.45
201510,3.26,0.27
201610,1.87,-1.12
201710,3.62,0.63
201810,6.55,3.56
201910,4.75,1.76
202010,3.21,0.22
202110,4.21,1.22
