Oklahoma, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,0.09,-1.63
195112,0.39,-1.33
195212,1.22,-0.50
195312,1.39,-0.33
195412,2.08,0.36
195512,0.26,-1.46
195612,1.74,0.02
195712,1.04,-0.68
195812,0.88,-0.84
195912,3.16,1.44
196012,3.23,1.51
196112,1.56,-0.16
196212,1.21,-0.51
196312,0.99,-0.73
196412,1.01,-0.71
196512,1.84,0.12
196612,1.09,-0.63
196712,1.75,0.03
196812,1.94,0.22
196912,1.98,0.26
197012,0.71,-1.01
197112,4.19,2.47
197212,1.18,-0.54
197312,1.74,0.02
197412,1.80,0.08
197512,1.43,-0.29
197612,0.78,-0.94
197712,0.53,-1.19
197812,0.86,-0.86
197912,1.29,-0.43
198012,1.73,0.01
198112,0.28,-1.44
198212,2.94,1.22
198312,0.97,-0.75
198412,4.87,3.15
198512,1.11,-0.61
198612,1.14,-0.58
198712,4.56,2.84
198812,1.43,-0.29
198912,0.42,-1.30
199012,1.85,0.13
199112,4.83,3.11
199212,3.83,2.11
199312,2.00,0.28
199412,1.43,-0.29
199512,1.90,0.18
199612,0.59,-1.13
199712,3.98,2.26
199812,1.90,0.18
199912,3.10,1.38
200012,1.97,0.25
200112,2.05,0.33
200212,3.00,1.28
200312,1.19,-0.53
200412,0.82,-0.90
200512,0.27,-1.45
200612,3.55,1.83
200712,2.63,0.91
200812,0.93,-0.79
200912,1.39,-0.33
201012,0.86,-0.86
201112,2.48,0.76
201212,1.02,-0.70
201312,1.67,-0.05
201412,1.44,-0.28
201512,5.56,3.84
201612,0.76,-0.96
201712,0.97,-0.75
201812,3.82,2.10
201912,1.09,-0.63
202012,2.28,0.56
202112,0.88,-0.84
