Oklahoma, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,0.49,-1.99
195103,1.31,-1.17
195203,2.61,0.13
195303,3.58,1.10
195403,0.69,-1.79
195503,1.99,-0.49
195603,0.78,-1.70
195703,3.84,1.36
195803,3.90,1.42
195903,2.40,-0.08
196003,1.28,-1.20
196103,3.53,1.05
196203,1.57,-0.91
196303,2.24,-0.24
196403,2.22,-0.26
196503,1.32,-1.16
196603,0.81,-1.67
196703,1.24,-1.24
196803,3.28,0.80
196903,2.94,0.46
197003,2.74,0.26
197103,0.39,-2.09
197203,0.70,-1.78
197303,7.44,4.96
197403,2.83,0.35
197503,3.24,0.76
197603,2.51,0.03
197703,3.14,0.66
197803,2.13,-0.35
197903,3.67,1.19
198003,2.25,-0.23
198103,2.55,0.07
198203,1.71,-0.77
198303,2.87,0.39
198403,4.23,1.75
198503,4.80,2.32
198603,1.48,-1.00
198703,3.07,0.59
198803,4.26,1.78
198903,2.98,0.50
199003,5.70,3.22
199103,1.95,-0.53
199203,1.92,-0.56
199303,2.78,0.30
199403,2.85,0.37
199503,3.03,0.55
199603,1.93,-0.55
199703,1.21,-1.27
199803,5.37,2.89
199903,4.12,1.64
200003,4.30,1.82
200103,1.52,-0.96
200203,2.70,0.22
200303,2.01,-0.47
200403,3.95,1.47
200503,1.18,-1.30
200603,3.16,0.68
200703,4.23,1.75
200803,4.68,2.20
200903,2.58,0.10
201003,2.03,-0.45
201103,0.74,-1.74
201203,4.56,2.08
201303,1.59,-0.89
201403,1.74,-0.74
201503,2.41,-0.07
201603,2.47,-0.01
201703,2.60,0.12
201803,2.10,-0.38
201903,2.63,0.15
202003,5.17,2.69
202103,3.19,0.71
