Oklahoma, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,6.75,1.91
195105,5.29,0.45
195205,3.62,-1.22
195305,2.84,-2.00
195405,6.15,1.31
195505,7.59,2.75
195605,4.09,-0.75
195705,10.54,5.70
195805,3.41,-1.43
195905,5.72,0.88
196005,5.84,1.00
196105,4.97,0.13
196205,1.89,-2.95
196305,2.36,-2.48
196405,5.01,0.17
196505,4.37,-0.47
196605,1.60,-3.24
196705,4.58,-0.26
196805,6.58,1.74
196905,5.21,0.37
197005,2.18,-2.66
197105,2.95,-1.89
197205,3.25,-1.59
197305,3.50,-1.34
197405,3.82,-1.02
197505,6.77,1.93
197605,4.39,-0.45
197705,6.67,1.83
197805,6.98,2.14
197905,5.74,0.90
198005,6.49,1.65
198105,5.40,0.56
198205,10.38,5.54
198305,5.93,1.09
198405,3.09,-1.75
198505,2.60,-2.24
198605,5.54,0.70
198705,7.92,3.08
198805,1.23,-3.61
198905,5.80,0.96
199005,6.58,1.74
199105,5.10,0.26
199205,4.53,-0.31
199305,7.42,2.58
199405,3.98,-0.86
199505,6.99,2.15
199605,2.42,-2.42
199705,3.70,-1.14
199805,2.52,-2.32
199905,5.45,0.61
200005,4.34,-0.50
200105,7.38,2.54
200205,3.56,-1.28
200305,3.71,-1.13
200405,1.56,-3.28
200505,2.60,-2.24
200605,3.16,-1.68
200705,7.05,2.21
200805,4.80,-0.04
200905,4.98,0.14
201005,4.80,-0.04
201105,4.47,-0.37
201205,2.15,-2.69
201305,4.73,-0.11
201405,3.14,-1.70
201505,14.44,9.60
201605,3.86,-0.98
201705,4.49,-0.35
201805,3.92,-0.92
201905,11.61,6.77
202005,5.07,0.23
202105,5.61,0.77
