Oklahoma, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,3.53,0.12
195109,3.88,0.47
195209,0.68,-2.73
195309,1.48,-1.93
195409,1.09,-2.32
195509,4.02,0.61
195609,0.25,-3.16
195709,5.43,2.02
195809,2.86,-0.55
195909,5.03,1.62
196009,2.43,-0.98
196109,5.55,2.14
196209,5.71,2.30
196309,2.26,-1.15
196409,3.94,0.53
196509,5.18,1.77
196609,2.63,-0.78
196709,5.16,1.75
196809,3.12,-0.29
196909,3.38,-0.03
197009,6.23,2.82
197109,4.90,1.49
197209,2.94,-0.47
197309,7.41,4.00
197409,6.24,2.83
197509,2.38,-1.03
197609,3.38,-0.03
197709,3.00,-0.41
197809,1.93,-1.48
197909,1.32,-2.09
198009,3.21,-0.20
198109,2.03,-1.38
198209,1.35,-2.06
198309,1.91,-1.50
198409,2.07,-1.34
198509,4.39,0.98
198609,7.06,3.65
198709,4.45,1.04
198809,5.04,1.63
198909,4.59,1.18
199009,4.49,1.08
199109,4.82,1.41
199209,3.67,0.26
199309,5.47,2.06
199409,2.40,-1.01
199509,4.98,1.57
199609,5.86,2.45
199709,3.07,-0.34
199809,3.07,-0.34
199909,3.86,0.45
200009,1.09,-2.32
200109,3.79,0.38
200209,2.33,-1.08
200309,3.08,-0.33
200409,1.23,-2.18
200509,2.07,-1.34
200609,2.41,-1.00
200709,3.05,-0.36
200809,3.63,0.22
200909,4.60,1.19
201009,4.13,0.72
201109,1.72,-1.69
201209,2.94,-0.47
201309,2.58,-0.83
201409,2.57,-0.84
201509,2.07,-1.34
201609,3.53,0.12
201709,2.57,-0.84
201809,5.50,2.09
201909,3.01,-0.40
202009,4.40,0.99
202109,1.09,-2.32
