Oregon, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,4.75,1.31
195103,3.44,0.00
195203,3.31,-0.13
195303,3.55,0.11
195403,2.59,-0.85
195503,3.48,0.04
195603,3.12,-0.32
195703,6.37,2.93
195803,2.66,-0.78
195903,3.14,-0.30
196003,5.44,2.00
196103,5.64,2.20
196203,4.00,0.56
196303,3.42,-0.02
196403,3.30,-0.14
196503,0.71,-2.73
196603,4.04,0.60
196703,3.72,0.28
196803,2.34,-1.10
196903,1.61,-1.83
197003,2.57,-0.87
197103,5.22,1.78
197203,5.01,1.57
197303,2.72,-0.72
197403,5.76,2.32
197503,4.70,1.26
197603,2.89,-0.55
197703,3.33,-0.11
197803,2.17,-1.27
197903,2.55,-0.89
198003,3.33,-0.11
198103,3.25,-0.19
198203,3.61,0.17
198303,6.84,3.40
198403,4.47,1.03
198503,3.18,-0.26
198603,3.22,-0.22
198703,3.69,0.25
198803,2.99,-0.45
198903,6.22,2.78
199003,2.24,-1.20
199103,4.50,1.06
199203,1.27,-2.17
199303,4.37,0.93
199403,2.01,-1.43
199503,4.86,1.42
199603,2.49,-0.95
199703,4.06,0.62
199803,3.86,0.42
199903,3.18,-0.26
200003,2.72,-0.72
200103,2.54,-0.90
200203,3.10,-0.34
200303,4.93,1.49
200403,1.81,-1.63
200503,3.45,0.01
200603,3.81,0.37
200703,2.22,-1.22
200803,3.45,0.01
200903,3.95,0.51
201003,3.57,0.13
201103,6.37,2.93
201203,7.19,3.75
201303,1.86,-1.58
201403,5.52,2.08
201503,2.59,-0.85
201603,4.96,1.52
201703,5.79,2.35
201803,3.42,-0.02
201903,2.05,-1.39
202003,2.39,-1.05
202103,1.84,-1.60
