Pennsylvania, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,3.75,-0.42
195106,5.80,1.63
195206,2.05,-2.12
195306,2.77,-1.40
195406,3.29,-0.88
195506,3.53,-0.64
195606,4.44,0.27
195706,4.50,0.33
195806,4.25,0.08
195906,3.68,-0.49
196006,3.96,-0.21
196106,4.11,-0.06
196206,3.00,-1.17
196306,2.94,-1.23
196406,3.53,-0.64
196506,2.12,-2.05
196606,1.27,-2.90
196706,2.47,-1.70
196806,4.00,-0.17
196906,4.08,-0.09
197006,4.30,0.13
197106,2.71,-1.46
197206,11.22,7.05
197306,4.96,0.79
197406,4.81,0.64
197506,5.96,1.79
197606,4.75,0.58
197706,4.09,-0.08
197806,3.92,-0.25
197906,2.49,-1.68
198006,4.08,-0.09
198106,5.71,1.54
198206,6.24,2.07
198306,4.97,0.80
198406,4.82,0.65
198506,3.53,-0.64
198606,4.71,0.54
198706,4.13,-0.04
198806,1.33,-2.84
198906,7.06,2.89
199006,3.17,-1.00
199106,1.59,-2.58
199206,2.39,-1.78
199306,3.69,-0.48
199406,4.81,0.64
199506,3.70,-0.47
199606,5.57,1.40
199706,3.44,-0.73
199806,5.15,0.98
199906,2.37,-1.80
200006,5.30,1.13
200106,4.10,-0.07
200206,4.85,0.68
200306,6.11,1.94
200406,4.40,0.23
200506,2.74,-1.43
200606,7.67,3.50
200706,3.70,-0.47
200806,4.12,-0.05
200906,4.91,0.74
201006,3.63,-0.54
201106,3.18,-0.99
201206,3.30,-0.87
201306,6.11,1.94
201406,5.31,1.14
201506,8.36,4.19
201606,3.35,-0.82
201706,4.62,0.45
201806,5.32,1.15
201906,5.82,1.65
202006,3.17,-1.00
202106,3.54,-0.63
