Pennsylvania, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,3.78,0.19
195109,2.83,-0.76
195209,3.83,0.24
195309,3.30,-0.29
195409,2.82,-0.77
195509,2.48,-1.11
195609,3.83,0.24
195709,3.23,-0.36
195809,4.42,0.83
195909,1.78,-1.81
196009,4.86,1.27
196109,1.90,-1.69
196209,4.60,1.01
196309,2.70,-0.89
196409,1.79,-1.80
196509,3.50,-0.09
196609,4.49,0.90
196709,3.16,-0.43
196809,3.92,0.33
196909,2.35,-1.24
197009,3.13,-0.46
197109,4.60,1.01
197209,2.98,-0.61
197309,4.56,0.97
197409,5.14,1.55
197509,7.95,4.36
197609,4.10,0.51
197709,5.28,1.69
197809,2.91,-0.68
197909,5.92,2.33
198009,2.17,-1.42
198109,3.75,0.16
198209,2.95,-0.64
198309,2.36,-1.23
198409,1.74,-1.85
198509,3.35,-0.24
198609,2.82,-0.77
198709,6.29,2.70
198809,3.19,-0.40
198909,4.19,0.60
199009,4.12,0.53
199109,3.09,-0.50
199209,4.16,0.57
199309,6.09,2.50
199409,3.23,-0.36
199509,2.30,-1.29
199609,7.20,3.61
199709,3.75,0.16
199809,2.13,-1.46
199909,6.65,3.06
200009,3.94,0.35
200109,3.98,0.39
200209,4.33,0.74
200309,7.13,3.54
200409,8.87,5.28
200509,1.82,-1.77
200609,5.06,1.47
200709,2.00,-1.59
200809,4.16,0.57
200909,2.78,-0.81
201009,3.41,-0.18
201109,10.10,6.51
201209,5.11,1.52
201309,2.37,-1.22
201409,1.88,-1.71
201509,4.32,0.73
201609,3.55,-0.04
201709,2.06,-1.53
201809,8.88,5.29
201909,2.13,-1.46
202009,2.46,-1.13
202109,6.98,3.39
