Rhode Island, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,3.59,-0.35
195101,3.88,-0.06
195201,4.67,0.73
195301,5.99,2.05
195401,2.83,-1.11
195501,0.78,-3.16
195601,4.74,0.80
195701,2.30,-1.64
195801,7.44,3.50
195901,2.39,-1.55
196001,3.32,-0.62
196101,2.51,-1.43
196201,4.56,0.62
196301,3.27,-0.67
196401,5.10,1.16
196501,2.88,-1.06
196601,3.48,-0.46
196701,1.72,-2.22
196801,3.34,-0.60
196901,1.87,-2.07
197001,0.94,-3.00
197101,2.21,-1.73
197201,2.32,-1.62
197301,3.52,-0.42
197401,4.41,0.47
197501,6.22,2.28
197601,6.28,2.34
197701,3.64,-0.30
197801,9.05,5.11
197901,11.93,7.99
198001,1.35,-2.59
198101,0.88,-3.06
198201,5.57,1.63
198301,4.60,0.66
198401,2.41,-1.53
198501,1.11,-2.83
198601,5.47,1.53
198701,5.53,1.59
198801,2.98,-0.96
198901,1.54,-2.40
199001,5.27,1.33
199101,3.35,-0.59
199201,3.86,-0.08
199301,2.53,-1.41
199401,5.38,1.44
199501,3.61,-0.33
199601,5.98,2.04
199701,4.01,0.07
199801,6.38,2.44
199901,6.79,2.85
200001,3.94,0.00
200101,2.79,-1.15
200201,2.94,-1.00
200301,2.33,-1.61
200401,1.73,-2.21
200501,4.81,0.87
200601,5.76,1.82
200701,4.01,0.07
200801,2.88,-1.06
200901,3.81,-0.13
201001,3.29,-0.65
201101,4.06,0.12
201201,3.30,-0.64
201301,1.86,-2.08
201401,3.31,-0.63
201501,3.71,-0.23
201601,3.20,-0.74
201701,4.84,0.90
201801,5.79,1.85
201901,6.42,2.48
202001,1.50,-2.44
202101,2.29,-1.65
