Rhode Island, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,2.00,-1.50
195110,3.28,-0.22
195210,1.41,-2.09
195310,4.99,1.49
195410,2.51,-0.99
195510,7.77,4.27
195610,2.97,-0.53
195710,2.67,-0.83
195810,3.42,-0.08
195910,5.48,1.98
196010,2.71,-0.79
196110,2.68,-0.82
196210,7.43,3.93
196310,1.42,-2.08
196410,2.34,-1.16
196510,2.69,-0.81
196610,2.92,-0.58
196710,1.96,-1.54
196810,2.20,-1.30
196910,2.29,-1.21
197010,3.62,0.12
197110,3.62,0.12
197210,4.22,0.72
197310,3.23,-0.27
197410,2.91,-0.59
197510,5.41,1.91
197610,5.48,1.98
197710,7.16,3.66
197810,3.58,0.08
197910,3.94,0.44
198010,4.36,0.86
198110,4.27,0.77
198210,3.17,-0.33
198310,4.89,1.39
198410,4.28,0.78
198510,2.06,-1.44
198610,2.81,-0.69
198710,3.02,-0.48
198810,2.71,-0.79
198910,7.35,3.85
199010,6.22,2.72
199110,2.84,-0.66
199210,2.04,-1.46
199310,3.74,0.24
199410,0.59,-2.91
199510,6.85,3.35
199610,7.19,3.69
199710,2.06,-1.44
199810,4.28,0.78
199910,5.64,2.14
200010,1.39,-2.11
200110,1.52,-1.98
200210,4.03,0.53
200310,6.43,2.93
200410,2.49,-1.01
200510,14.54,11.04
200610,7.18,3.68
200710,2.56,-0.94
200810,2.17,-1.33
200910,6.77,3.27
201010,4.36,0.86
201110,7.47,3.97
201210,3.93,0.43
201310,0.89,-2.61
201410,4.44,0.94
201510,4.02,0.52
201610,6.32,2.82
201710,7.41,3.91
201810,6.56,3.06
201910,7.05,3.55
202010,5.81,2.31
202110,5.94,2.44
