Rhode Island, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,3.87,0.43
195102,3.87,0.43
195202,3.55,0.11
195302,4.38,0.94
195402,2.78,-0.66
195502,4.40,0.96
195602,4.37,0.93
195702,1.63,-1.81
195802,3.32,-0.12
195902,3.29,-0.15
196002,5.42,1.98
196102,3.59,0.15
196202,4.56,1.12
196302,3.20,-0.24
196402,3.41,-0.03
196502,3.45,0.01
196602,3.52,0.08
196702,2.74,-0.70
196802,1.27,-2.17
196902,4.59,1.15
197002,5.38,1.94
197102,5.45,2.01
197202,5.54,2.10
197302,3.43,-0.01
197402,2.73,-0.71
197502,3.46,0.02
197602,2.83,-0.61
197702,2.73,-0.71
197802,2.44,-1.00
197902,4.12,0.68
198002,1.09,-2.35
198102,5.90,2.46
198202,3.08,-0.36
198302,4.79,1.35
198402,6.38,2.94
198502,1.95,-1.49
198602,3.18,-0.26
198702,0.66,-2.78
198802,5.26,1.82
198902,2.85,-0.59
199002,3.35,-0.09
199102,2.12,-1.32
199202,2.22,-1.22
199302,4.23,0.79
199402,2.65,-0.79
199502,3.13,-0.31
199602,3.14,-0.30
199702,2.13,-1.31
199802,5.64,2.20
199902,5.10,1.66
200002,3.13,-0.31
200102,2.52,-0.92
200202,1.91,-1.53
200302,4.17,0.73
200402,2.23,-1.21
200502,2.98,-0.46
200602,2.74,-0.70
200702,2.42,-1.02
200802,6.96,3.52
200902,1.96,-1.48
201002,4.76,1.32
201102,4.56,1.12
201202,1.17,-2.27
201302,4.79,1.35
201402,4.23,0.79
201502,2.67,-0.77
201602,5.26,1.82
201702,2.32,-1.12
201802,5.68,2.24
201902,3.51,0.07
202002,3.30,-0.14
202102,3.64,0.20
