Rhode Island, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,3.10,-0.96
195104,3.28,-0.78
195204,3.79,-0.27
195304,5.98,1.92
195404,5.03,0.97
195504,3.29,-0.77
195604,3.24,-0.82
195704,4.24,0.18
195804,7.21,3.15
195904,3.99,-0.07
196004,3.49,-0.57
196104,6.12,2.06
196204,3.60,-0.46
196304,1.44,-2.62
196404,6.04,1.98
196504,2.90,-1.16
196604,1.35,-2.71
196704,4.36,0.30
196804,1.69,-2.37
196904,4.57,0.51
197004,3.98,-0.08
197104,2.54,-1.52
197204,3.99,-0.07
197304,6.58,2.52
197404,3.38,-0.68
197504,3.19,-0.87
197604,2.15,-1.91
197704,3.98,-0.08
197804,2.18,-1.88
197904,5.10,1.04
198004,5.52,1.46
198104,4.25,0.19
198204,4.38,0.32
198304,10.59,6.53
198404,4.67,0.61
198504,1.52,-2.54
198604,1.86,-2.20
198704,8.29,4.23
198804,2.88,-1.18
198904,5.04,0.98
199004,5.29,1.23
199104,4.12,0.06
199204,2.50,-1.56
199304,4.90,0.84
199404,2.21,-1.85
199504,2.86,-1.20
199604,6.16,2.10
199704,4.72,0.66
199804,5.29,1.23
199904,1.40,-2.66
200004,5.95,1.89
200104,2.04,-2.02
200204,3.62,-0.44
200304,4.87,0.81
200404,7.84,3.78
200504,5.42,1.36
200604,2.97,-1.09
200704,8.16,4.10
200804,4.17,0.11
200904,5.55,1.49
201004,1.95,-2.11
201104,5.35,1.29
201204,3.22,-0.84
201304,1.80,-2.26
201404,4.57,0.51
201504,2.50,-1.56
201604,3.99,-0.07
201704,6.56,2.50
201804,5.40,1.34
201904,7.08,3.02
202004,5.40,1.34
202104,3.49,-0.57
