Rhode Island, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,2.41,-0.91
195106,2.27,-1.05
195206,3.17,-0.15
195306,0.96,-2.36
195406,2.15,-1.17
195506,3.18,-0.14
195606,2.19,-1.13
195706,0.82,-2.50
195806,2.45,-0.87
195906,5.71,2.39
196006,1.78,-1.54
196106,2.13,-1.19
196206,4.79,1.47
196306,2.30,-1.02
196406,1.52,-1.80
196506,2.01,-1.31
196606,2.27,-1.05
196706,3.08,-0.24
196806,5.68,2.36
196906,1.41,-1.91
197006,3.77,0.45
197106,1.26,-2.06
197206,8.06,4.74
197306,4.03,0.71
197406,2.94,-0.38
197506,4.30,0.98
197606,1.34,-1.98
197706,4.65,1.33
197806,1.70,-1.62
197906,1.34,-1.98
198006,3.31,-0.01
198106,3.57,0.25
198206,11.70,8.38
198306,2.62,-0.70
198406,5.42,2.10
198506,4.63,1.31
198606,4.56,1.24
198706,1.81,-1.51
198806,1.67,-1.65
198906,5.23,1.91
199006,1.40,-1.92
199106,1.20,-2.12
199206,4.62,1.30
199306,1.68,-1.64
199406,2.22,-1.10
199506,2.74,-0.58
199606,2.24,-1.08
199706,1.65,-1.67
199806,10.85,7.53
199906,0.20,-3.12
200006,5.02,1.70
200106,6.34,3.02
200206,4.14,0.82
200306,6.05,2.73
200406,1.75,-1.57
200506,1.25,-2.07
200606,10.55,7.23
200706,3.05,-0.27
200806,2.82,-0.50
200906,4.53,1.21
201006,3.77,0.45
201106,4.41,1.09
201206,4.23,0.91
201306,10.19,6.87
201406,2.31,-1.01
201506,5.34,2.02
201606,1.44,-1.88
201706,3.75,0.43
201806,2.70,-0.62
201906,4.80,1.48
202006,2.84,-0.48
202106,2.31,-1.01
