South Carolina, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,4.18,-0.10
195103,4.67,0.39
195203,6.95,2.67
195303,4.46,0.18
195403,3.48,-0.80
195503,1.97,-2.31
195603,3.68,-0.60
195703,4.59,0.31
195803,4.73,0.45
195903,6.34,2.06
196003,4.71,0.43
196103,4.25,-0.03
196203,5.56,1.28
196303,3.74,-0.54
196403,5.93,1.65
196503,7.54,3.26
196603,3.81,-0.47
196703,2.40,-1.88
196803,2.39,-1.89
196903,4.54,0.26
197003,6.60,2.32
197103,6.79,2.51
197203,3.39,-0.89
197303,6.11,1.83
197403,2.84,-1.44
197503,6.06,1.78
197603,4.32,0.04
197703,6.89,2.61
197803,3.63,-0.65
197903,3.67,-0.61
198003,10.01,5.73
198103,2.84,-1.44
198203,1.71,-2.57
198303,8.43,4.15
198403,5.52,1.24
198503,1.02,-3.26
198603,3.19,-1.09
198703,5.25,0.97
198803,2.48,-1.80
198903,4.72,0.44
199003,3.71,-0.57
199103,6.36,2.08
199203,3.83,-0.45
199303,6.14,1.86
199403,5.15,0.87
199503,2.07,-2.21
199603,5.52,1.24
199703,3.26,-1.02
199803,5.10,0.82
199903,2.65,-1.63
200003,4.08,-0.20
200103,6.38,2.10
200203,4.28,0.00
200303,7.52,3.24
200403,0.92,-3.36
200503,4.87,0.59
200603,1.24,-3.04
200703,2.57,-1.71
200803,3.44,-0.84
200903,5.11,0.83
201003,3.06,-1.22
201103,5.02,0.74
201203,3.64,-0.64
201303,3.35,-0.93
201403,4.34,0.06
201503,3.18,-1.10
201603,2.21,-2.07
201703,2.34,-1.94
201803,3.11,-1.17
201903,2.52,-1.76
202003,4.26,-0.02
202103,3.26,-1.02
