South Carolina, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,3.18,-1.50
195106,4.59,-0.09
195206,3.23,-1.45
195306,4.11,-0.57
195406,1.74,-2.94
195506,3.48,-1.20
195606,3.26,-1.42
195706,4.74,0.06
195806,4.85,0.17
195906,3.19,-1.49
196006,4.35,-0.33
196106,6.11,1.43
196206,6.83,2.15
196306,6.20,1.52
196406,5.05,0.37
196506,7.76,3.08
196606,4.10,-0.58
196706,4.41,-0.27
196806,6.12,1.44
196906,4.94,0.26
197006,2.40,-2.28
197106,4.87,0.19
197206,5.85,1.17
197306,9.50,4.82
197406,3.84,-0.84
197506,4.00,-0.68
197606,6.97,2.29
197706,3.76,-0.92
197806,3.40,-1.28
197906,4.28,-0.40
198006,3.37,-1.31
198106,4.12,-0.56
198206,6.82,2.14
198306,3.44,-1.24
198406,3.10,-1.58
198506,4.73,0.05
198606,2.42,-2.26
198706,5.62,0.94
198806,2.75,-1.93
198906,6.37,1.69
199006,1.94,-2.74
199106,4.05,-0.63
199206,6.50,1.82
199306,2.37,-2.31
199406,8.02,3.34
199506,8.16,3.48
199606,3.09,-1.59
199706,5.92,1.24
199806,3.36,-1.32
199906,4.84,0.16
200006,3.79,-0.89
200106,5.40,0.72
200206,3.01,-1.67
200306,6.39,1.71
200406,6.35,1.67
200506,6.83,2.15
200606,6.80,2.12
200706,4.72,0.04
200806,2.35,-2.33
200906,4.04,-0.64
201006,4.51,-0.17
201106,2.62,-2.06
201206,4.17,-0.51
201306,7.70,3.02
201406,3.43,-1.25
201506,4.12,-0.56
201606,3.61,-1.07
201706,4.43,-0.25
201806,3.72,-0.96
201906,5.94,1.26
202006,4.27,-0.41
202106,6.09,1.41
