South Dakota, Precipitation, November
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,0.36,-0.30
195111,0.21,-0.45
195211,0.70,0.04
195311,0.67,0.01
195411,0.38,-0.28
195511,0.38,-0.28
195611,1.39,0.73
195711,0.99,0.33
195811,0.77,0.11
195911,0.84,0.18
196011,0.70,0.04
196111,0.25,-0.41
196211,0.25,-0.41
196311,0.27,-0.39
196411,0.28,-0.38
196511,0.33,-0.33
196611,0.48,-0.18
196711,0.15,-0.51
196811,0.56,-0.10
196911,0.23,-0.43
197011,1.55,0.89
197111,1.23,0.57
197211,0.80,0.14
197311,0.79,0.13
197411,0.24,-0.42
197511,0.63,-0.03
197611,0.14,-0.52
197711,1.61,0.95
197811,0.68,0.02
197911,0.40,-0.26
198011,0.18,-0.48
198111,0.65,-0.01
198211,0.82,0.16
198311,1.60,0.94
198411,0.42,-0.24
198511,1.66,1.00
198611,0.77,0.11
198711,0.56,-0.10
198811,0.70,0.04
198911,0.73,0.07
199011,0.26,-0.40
199111,0.85,0.19
199211,1.19,0.53
199311,1.24,0.58
199411,0.67,0.01
199511,0.53,-0.13
199611,1.23,0.57
199711,0.29,-0.37
199811,1.26,0.60
199911,0.21,-0.45
200011,1.86,1.20
200111,1.19,0.53
200211,0.06,-0.60
200311,0.74,0.08
200411,0.36,-0.30
200511,1.07,0.41
200611,0.35,-0.31
200711,0.05,-0.61
200811,1.15,0.49
200911,0.11,-0.55
201011,0.33,-0.33
201111,0.24,-0.42
201211,0.32,-0.34
201311,0.30,-0.36
201411,0.62,-0.04
201511,1.02,0.36
201611,0.91,0.25
201711,0.23,-0.43
201811,0.73,0.07
201911,0.94,0.28
202011,0.36,-0.30
202111,0.24,-0.42
