South Dakota, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,0.56,0.02
195102,0.66,0.12
195202,1.00,0.46
195302,1.14,0.60
195402,0.49,-0.05
195502,0.90,0.36
195602,0.24,-0.30
195702,0.33,-0.21
195802,0.91,0.37
195902,0.62,0.08
196002,0.62,0.08
196102,0.33,-0.21
196202,1.27,0.73
196302,0.40,-0.14
196402,0.24,-0.30
196502,0.31,-0.23
196602,0.64,0.10
196702,0.55,0.01
196802,0.17,-0.37
196902,1.20,0.66
197002,0.22,-0.32
197102,0.82,0.28
197202,0.35,-0.19
197302,0.30,-0.24
197402,0.33,-0.21
197502,0.29,-0.25
197602,0.59,0.05
197702,0.85,0.31
197802,0.77,0.23
197902,0.47,-0.07
198002,0.42,-0.12
198102,0.25,-0.29
198202,0.21,-0.33
198302,0.12,-0.42
198402,0.48,-0.06
198502,0.08,-0.46
198602,0.63,0.09
198702,1.38,0.84
198802,0.37,-0.17
198902,0.43,-0.11
199002,0.34,-0.20
199102,0.85,0.31
199202,0.68,0.14
199302,0.75,0.21
199402,0.61,0.07
199502,0.42,-0.12
199602,0.31,-0.23
199702,0.79,0.25
199802,0.77,0.23
199902,0.28,-0.26
200002,0.72,0.18
200102,0.87,0.33
200202,0.18,-0.36
200302,0.63,0.09
200402,0.46,-0.08
200502,0.39,-0.15
200602,0.29,-0.25
200702,0.90,0.36
200802,0.38,-0.16
200902,1.00,0.46
201002,0.60,0.06
201102,1.13,0.59
201202,1.13,0.59
201302,0.70,0.16
201402,0.36,-0.18
201502,0.34,-0.20
201602,0.58,0.04
201702,0.37,-0.17
201802,0.94,0.40
201902,1.01,0.47
202002,0.42,-0.12
202102,0.37,-0.17
