South Dakota, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,2.96,0.04
195105,2.81,-0.11
195205,2.46,-0.46
195305,2.65,-0.27
195405,2.21,-0.71
195505,2.37,-0.55
195605,2.25,-0.67
195705,5.03,2.11
195805,1.48,-1.44
195905,3.78,0.86
196005,3.08,0.16
196105,3.53,0.61
196205,6.78,3.86
196305,2.13,-0.79
196405,2.44,-0.48
196505,5.34,2.42
196605,0.99,-1.93
196705,1.85,-1.07
196805,1.89,-1.03
196905,2.23,-0.69
197005,2.68,-0.24
197105,2.96,0.04
197205,5.60,2.68
197305,2.82,-0.10
197405,3.04,0.12
197505,2.13,-0.79
197605,1.59,-1.33
197705,2.78,-0.14
197805,3.62,0.70
197905,1.87,-1.05
198005,1.36,-1.56
198105,2.31,-0.61
198205,6.32,3.40
198305,2.72,-0.20
198405,2.10,-0.82
198505,2.10,-0.82
198605,3.34,0.42
198705,3.14,0.22
198805,3.32,0.40
198905,1.24,-1.68
199005,3.25,0.33
199105,5.33,2.41
199205,1.39,-1.53
199305,3.19,0.27
199405,1.26,-1.66
199505,5.42,2.50
199605,5.37,2.45
199705,2.92,0.00
199805,2.55,-0.37
199905,3.61,0.69
200005,3.24,0.32
200105,2.48,-0.44
200205,1.64,-1.28
200305,2.79,-0.13
200405,3.70,0.78
200505,3.70,0.78
200605,1.20,-1.72
200705,4.53,1.61
200805,4.06,1.14
200905,1.27,-1.65
201005,3.69,0.77
201105,4.50,1.58
201205,2.79,-0.13
201305,4.82,1.90
201405,2.42,-0.50
201505,5.72,2.80
201605,2.54,-0.38
201705,2.12,-0.80
201805,2.71,-0.21
201905,5.90,2.98
202005,2.71,-0.21
202105,2.25,-0.67
