California, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,5.39,1.14
195101,4.09,-0.16
195201,7.44,3.19
195301,4.52,0.27
195401,5.93,1.68
195501,3.61,-0.64
195601,6.96,2.71
195701,3.92,-0.33
195801,4.34,0.09
195901,4.66,0.41
196001,3.68,-0.57
196101,2.09,-2.16
196201,2.03,-2.22
196301,2.89,-1.36
196401,3.58,-0.67
196501,3.83,-0.42
196601,3.05,-1.20
196701,6.12,1.87
196801,3.71,-0.54
196901,10.80,6.55
197001,8.16,3.91
197101,2.39,-1.86
197201,1.84,-2.41
197301,6.05,1.80
197401,5.67,1.42
197501,1.58,-2.67
197601,0.45,-3.80
197701,1.98,-2.27
197801,7.97,3.72
197901,5.05,0.80
198001,6.63,2.38
198101,4.39,0.14
198201,4.24,-0.01
198301,5.93,1.68
198401,0.33,-3.92
198501,0.81,-3.44
198601,3.80,-0.45
198701,3.07,-1.18
198801,3.84,-0.41
198901,1.59,-2.66
199001,3.72,-0.53
199101,1.00,-3.25
199201,1.94,-2.31
199301,8.86,4.61
199401,1.91,-2.34
199501,12.50,8.25
199601,5.12,0.87
199701,7.62,3.37
199801,6.97,2.72
199901,3.54,-0.71
200001,5.09,0.84
200101,3.52,-0.73
200201,2.22,-2.03
200301,1.92,-2.33
200401,2.27,-1.98
200501,5.56,1.31
200601,4.54,0.29
200701,0.81,-3.44
200801,7.11,2.86
200901,1.27,-2.98
201001,6.48,2.23
201101,1.28,-2.97
201201,3.12,-1.13
201301,1.19,-3.06
201401,0.54,-3.71
201501,0.65,-3.60
201601,6.39,2.14
201701,9.92,5.67
201801,3.33,-0.92
201901,5.23,0.98
202001,2.06,-2.19
202101,3.65,-0.60
