California, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,2.85,-0.36
195103,1.17,-2.04
195203,4.78,1.57
195303,2.32,-0.89
195403,4.13,0.92
195503,0.70,-2.51
195603,0.41,-2.80
195703,3.00,-0.21
195803,5.74,2.53
195903,0.86,-2.35
196003,2.84,-0.37
196103,3.04,-0.17
196203,2.75,-0.46
196303,3.51,0.30
196403,2.00,-1.21
196503,1.46,-1.75
196603,1.28,-1.93
196703,4.23,1.02
196803,2.41,-0.80
196903,1.39,-1.82
197003,2.44,-0.77
197103,3.26,0.05
197203,1.16,-2.05
197303,3.34,0.13
197403,5.40,2.19
197503,5.76,2.55
197603,1.40,-1.81
197703,1.64,-1.57
197803,5.75,2.54
197903,3.44,0.23
198003,2.81,-0.40
198103,4.04,0.83
198203,5.78,2.57
198303,9.02,5.81
198403,1.67,-1.54
198503,2.88,-0.33
198603,4.70,1.49
198703,3.59,0.38
198803,0.59,-2.62
198903,5.10,1.89
199003,1.30,-1.91
199103,9.11,5.90
199203,3.65,0.44
199303,3.05,-0.16
199403,1.24,-1.97
199503,9.57,6.36
199603,2.57,-0.64
199703,0.84,-2.37
199803,4.15,0.94
199903,2.40,-0.81
200003,1.92,-1.29
200103,2.21,-1.00
200203,1.91,-1.30
200303,2.77,-0.44
200403,1.08,-2.13
200503,3.69,0.48
200603,5.41,2.20
200703,0.74,-2.47
200803,0.61,-2.60
200903,2.26,-0.95
201003,2.19,-1.02
201103,6.41,3.20
201203,4.74,1.53
201303,1.33,-1.88
201403,3.28,0.07
201503,0.78,-2.43
201603,4.88,1.67
201703,2.45,-0.76
201803,5.12,1.91
201903,4.05,0.84
202003,3.19,-0.02
202103,1.73,-1.48
