Tennessee, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,12.94,8.05
195101,7.37,2.48
195201,5.70,0.81
195301,5.41,0.52
195401,9.92,5.03
195501,2.02,-2.87
195601,4.89,0.00
195701,9.11,4.22
195801,2.71,-2.18
195901,4.71,-0.18
196001,3.56,-1.33
196101,2.37,-2.52
196201,7.14,2.25
196301,2.15,-2.74
196401,4.62,-0.27
196501,3.90,-0.99
196601,4.18,-0.71
196701,2.30,-2.59
196801,4.48,-0.41
196901,4.57,-0.32
197001,1.96,-2.93
197101,4.33,-0.56
197201,6.83,1.94
197301,4.38,-0.51
197401,9.63,4.74
197501,5.30,0.41
197601,4.62,-0.27
197701,2.69,-2.20
197801,5.85,0.96
197901,7.02,2.13
198001,4.23,-0.66
198101,1.61,-3.28
198201,7.18,2.29
198301,2.45,-2.44
198401,2.18,-2.71
198501,3.03,-1.86
198601,0.99,-3.90
198701,3.08,-1.81
198801,4.35,-0.54
198901,6.81,1.92
199001,4.90,0.01
199101,3.14,-1.75
199201,3.17,-1.72
199301,3.92,-0.97
199401,5.96,1.07
199501,5.51,0.62
199601,5.77,0.88
199701,4.97,0.08
199801,5.53,0.64
199901,8.76,3.87
200001,3.58,-1.31
200101,3.71,-1.18
200201,6.65,1.76
200301,2.10,-2.79
200401,3.33,-1.56
200501,4.29,-0.60
200601,6.37,1.48
200701,4.12,-0.77
200801,3.45,-1.44
200901,4.61,-0.28
201001,5.30,0.41
201101,3.18,-1.71
201201,4.88,-0.01
201301,8.64,3.75
201401,2.70,-2.19
201501,2.81,-2.08
201601,2.76,-2.13
201701,4.24,-0.65
201801,2.55,-2.34
201901,5.78,0.89
202001,6.73,1.84
202101,3.32,-1.57
