Tennessee, Precipitation, November
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,4.80,0.75
195111,6.81,2.76
195211,3.60,-0.45
195311,1.47,-2.58
195411,2.34,-1.71
195511,3.65,-0.40
195611,2.36,-1.69
195711,9.72,5.67
195811,3.88,-0.17
195911,4.28,0.23
196011,3.29,-0.76
196111,5.07,1.02
196211,3.85,-0.20
196311,3.79,-0.26
196411,3.87,-0.18
196511,2.68,-1.37
196611,3.58,-0.47
196711,3.91,-0.14
196811,4.19,0.14
196911,3.58,-0.47
197011,2.36,-1.69
197111,2.04,-2.01
197211,5.38,1.33
197311,8.58,4.53
197411,4.78,0.73
197511,4.01,-0.04
197611,1.80,-2.25
197711,7.59,3.54
197811,4.44,0.39
197911,6.78,2.73
198011,3.94,-0.11
198111,2.90,-1.15
198211,5.60,1.55
198311,7.20,3.15
198411,6.23,2.18
198511,4.71,0.66
198611,7.50,3.45
198711,4.63,0.58
198811,7.51,3.46
198911,4.49,0.44
199011,3.38,-0.67
199111,3.78,-0.27
199211,4.50,0.45
199311,3.77,-0.28
199411,3.93,-0.12
199511,5.79,1.74
199611,6.63,2.58
199711,3.01,-1.04
199811,1.96,-2.09
199911,3.29,-0.76
200011,5.10,1.05
200111,5.68,1.63
200211,4.23,0.18
200311,5.77,1.72
200411,6.77,2.72
200511,3.66,-0.39
200611,3.90,-0.15
200711,3.57,-0.48
200811,2.67,-1.38
200911,2.02,-2.03
201011,5.64,1.59
201111,7.56,3.51
201211,1.70,-2.35
201311,3.71,-0.34
201411,3.22,-0.83
201511,6.38,2.33
201611,3.05,-1.00
201711,2.78,-1.27
201811,5.51,1.46
201911,4.74,0.69
202011,1.98,-2.07
202111,1.68,-2.37
