Tennessee, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,6.60,2.15
195102,5.47,1.02
195202,3.33,-1.12
195302,5.80,1.35
195402,3.58,-0.87
195502,6.85,2.40
195602,9.80,5.35
195702,6.88,2.43
195802,2.80,-1.65
195902,4.56,0.11
196002,3.67,-0.78
196102,6.65,2.20
196202,8.68,4.23
196302,2.59,-1.86
196402,4.15,-0.30
196502,4.84,0.39
196602,5.05,0.60
196702,3.26,-1.19
196802,1.11,-3.34
196902,4.85,0.40
197002,3.91,-0.54
197102,6.06,1.61
197202,3.64,-0.81
197302,3.83,-0.62
197402,4.58,0.13
197502,5.72,1.27
197602,3.45,-1.00
197702,2.55,-1.90
197802,1.18,-3.27
197902,4.61,0.16
198002,1.87,-2.58
198102,4.07,-0.38
198202,4.65,0.20
198302,3.49,-0.96
198402,3.93,-0.52
198502,3.75,-0.70
198602,4.43,-0.02
198702,5.50,1.05
198802,3.16,-1.29
198902,8.34,3.89
199002,8.05,3.60
199102,7.49,3.04
199202,3.47,-0.98
199302,3.03,-1.42
199402,6.97,2.52
199502,2.94,-1.51
199602,2.96,-1.49
199702,4.76,0.31
199802,4.70,0.25
199902,3.30,-1.15
200002,3.72,-0.73
200102,6.93,2.48
200202,2.19,-2.26
200302,9.66,5.21
200402,5.07,0.62
200502,4.17,-0.28
200602,2.96,-1.49
200702,2.16,-2.29
200802,4.01,-0.44
200902,2.66,-1.79
201002,3.12,-1.33
201102,4.21,-0.24
201202,2.90,-1.55
201302,3.01,-1.44
201402,5.18,0.73
201502,4.56,0.11
201602,5.79,1.34
201702,2.38,-2.07
201802,10.73,6.28
201902,12.07,7.62
202002,9.18,4.73
202102,5.08,0.63
