Tennessee, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,2.19,-2.32
195104,4.82,0.31
195204,2.65,-1.86
195304,5.37,0.86
195404,4.19,-0.32
195504,5.75,1.24
195604,5.85,1.34
195704,5.33,0.82
195804,6.49,1.98
195904,3.82,-0.69
196004,2.28,-2.23
196104,4.15,-0.36
196204,4.91,0.40
196304,3.80,-0.71
196404,8.13,3.62
196504,4.60,0.09
196604,4.88,0.37
196704,3.46,-1.05
196804,5.28,0.77
196904,5.88,1.37
197004,7.45,2.94
197104,3.12,-1.39
197204,4.21,-0.30
197304,6.71,2.20
197404,4.92,0.41
197504,2.89,-1.62
197604,1.31,-3.20
197704,6.77,2.26
197804,3.00,-1.51
197904,7.41,2.90
198004,4.43,-0.08
198104,4.22,-0.29
198204,5.12,0.61
198304,7.68,3.17
198404,5.64,1.13
198504,3.26,-1.25
198604,1.82,-2.69
198704,2.88,-1.63
198804,3.46,-1.05
198904,3.51,-1.00
199004,3.65,-0.86
199104,5.90,1.39
199204,2.13,-2.38
199304,4.20,-0.31
199404,6.55,2.04
199504,3.51,-1.00
199604,4.26,-0.25
199704,4.17,-0.34
199804,8.40,3.89
199904,4.01,-0.50
200004,6.44,1.93
200104,2.93,-1.58
200204,2.43,-2.08
200304,5.14,0.63
200404,4.92,0.41
200504,6.05,1.54
200604,5.49,0.98
200704,3.74,-0.77
200804,5.76,1.25
200904,4.33,-0.18
201004,3.09,-1.42
201104,9.83,5.32
201204,2.01,-2.50
201304,7.88,3.37
201404,5.81,1.30
201504,5.96,1.45
201604,3.20,-1.31
201704,6.61,2.10
201804,5.97,1.46
201904,5.84,1.33
202004,6.56,2.05
202104,2.82,-1.69
