Texas, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,2.67,0.31
195104,1.04,-1.32
195204,3.35,0.99
195304,2.21,-0.15
195404,2.82,0.46
195504,1.45,-0.91
195604,1.31,-1.05
195704,6.19,3.83
195804,2.54,0.18
195904,2.61,0.25
196004,1.53,-0.83
196104,0.82,-1.54
196204,2.60,0.24
196304,1.83,-0.53
196404,1.67,-0.69
196504,1.25,-1.11
196604,4.76,2.40
196704,2.19,-0.17
196804,2.73,0.37
196904,3.01,0.65
197004,1.80,-0.56
197104,1.49,-0.87
197204,1.48,-0.88
197304,3.44,1.08
197404,1.78,-0.58
197504,2.08,-0.28
197604,4.09,1.73
197704,3.91,1.55
197804,1.07,-1.29
197904,2.98,0.62
198004,1.41,-0.95
198104,2.65,0.29
198204,2.00,-0.36
198304,0.57,-1.79
198404,0.59,-1.77
198504,2.36,0.00
198604,1.74,-0.62
198704,0.90,-1.46
198804,1.48,-0.88
198904,1.13,-1.23
199004,3.56,1.20
199104,2.92,0.56
199204,2.31,-0.05
199304,2.39,0.03
199404,1.96,-0.40
199504,2.47,0.11
199604,1.51,-0.85
199704,4.91,2.55
199804,0.67,-1.69
199904,1.95,-0.41
200004,1.91,-0.45
200104,0.79,-1.57
200204,1.79,-0.57
200304,0.77,-1.59
200404,3.94,1.58
200504,0.70,-1.66
200604,1.51,-0.85
200704,2.15,-0.21
200804,1.87,-0.49
200904,3.20,0.84
201004,2.69,0.33
201104,0.70,-1.66
201204,1.27,-1.09
201304,1.77,-0.59
201404,0.98,-1.38
201504,3.96,1.60
201604,4.30,1.94
201704,2.75,0.39
201804,1.05,-1.31
201904,3.58,1.22
202004,1.86,-0.50
202104,2.14,-0.22
