Texas, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,2.97,0.11
195106,3.15,0.29
195206,1.11,-1.75
195306,1.04,-1.82
195406,1.73,-1.13
195506,2.41,-0.45
195606,1.17,-1.69
195706,3.04,0.18
195806,2.62,-0.24
195906,4.05,1.19
196006,3.69,0.83
196106,5.50,2.64
196206,4.38,1.52
196306,2.80,-0.06
196406,1.84,-1.02
196506,2.75,-0.11
196606,2.36,-0.50
196706,1.99,-0.87
196806,3.94,1.08
196906,1.81,-1.05
197006,1.78,-1.08
197106,2.27,-0.59
197206,2.91,0.05
197306,4.96,2.10
197406,1.94,-0.92
197506,2.95,0.09
197606,2.45,-0.41
197706,2.52,-0.34
197806,2.97,0.11
197906,3.48,0.62
198006,1.28,-1.58
198106,5.26,2.40
198206,3.69,0.83
198306,2.84,-0.02
198406,2.47,-0.39
198506,3.62,0.76
198606,4.97,2.11
198706,5.23,2.37
198806,2.45,-0.41
198906,4.93,2.07
199006,1.18,-1.68
199106,4.14,1.28
199206,4.31,1.45
199306,4.34,1.48
199406,1.91,-0.95
199506,2.97,0.11
199606,2.96,0.10
199706,4.55,1.69
199806,1.14,-1.72
199906,3.89,1.03
200006,5.03,2.17
200106,2.55,-0.31
200206,2.39,-0.47
200306,4.48,1.62
200406,6.66,3.80
200506,1.24,-1.62
200606,1.96,-0.90
200706,5.33,2.47
200806,1.93,-0.93
200906,1.87,-0.99
201006,2.78,-0.08
201106,0.98,-1.88
201206,1.86,-1.00
201306,2.33,-0.53
201406,3.01,0.15
201506,3.72,0.86
201606,3.37,0.51
201706,3.11,0.25
201806,2.49,-0.37
201906,4.27,1.41
202006,2.15,-0.71
202106,4.06,1.20
