Texas, Precipitation, July
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195007,3.96,1.63
195107,1.40,-0.93
195207,2.13,-0.20
195307,2.11,-0.22
195407,1.01,-1.32
195507,2.44,0.11
195607,1.05,-1.28
195707,0.99,-1.34
195807,2.52,0.19
195907,3.72,1.39
196007,3.95,1.62
196107,3.83,1.50
196207,2.18,-0.15
196307,1.61,-0.72
196407,1.07,-1.26
196507,0.85,-1.48
196607,1.31,-1.02
196707,2.61,0.28
196807,3.09,0.76
196907,1.34,-0.99
197007,1.06,-1.27
197107,2.51,0.18
197207,2.48,0.15
197307,3.81,1.48
197407,1.20,-1.13
197507,3.59,1.26
197607,4.96,2.63
197707,1.24,-1.09
197807,1.34,-0.99
197907,3.72,1.39
198007,0.65,-1.68
198107,2.39,0.06
198207,1.73,-0.60
198307,1.98,-0.35
198407,1.67,-0.66
198507,2.15,-0.18
198607,1.20,-1.13
198707,2.03,-0.30
198807,3.32,0.99
198907,1.73,-0.60
199007,4.16,1.83
199107,3.08,0.75
199207,2.42,0.09
199307,1.28,-1.05
199407,2.00,-0.33
199507,2.11,-0.22
199607,2.51,0.18
199707,1.37,-0.96
199807,1.20,-1.13
199907,2.04,-0.29
200007,0.70,-1.63
200107,0.97,-1.36
200207,4.73,2.40
200307,2.36,0.03
200407,2.37,0.04
200507,3.01,0.68
200607,2.31,-0.02
200707,5.37,3.04
200807,2.29,-0.04
200907,3.09,0.76
201007,5.12,2.79
201107,0.74,-1.59
201207,2.70,0.37
201307,3.10,0.77
201407,2.58,0.25
201507,1.85,-0.48
201607,1.31,-1.02
201707,2.46,0.13
201807,2.15,-0.18
201907,1.29,-1.04
202007,2.28,-0.05
202107,3.99,1.66
